v1,v2,delta
7.758928571428508,-3.223214285714316,10.982142857142824
6.800000000100332,-0.6500000000000034,7.450000000100335
7.928571428566856,-0.937500000100538,8.866071428667393
4.803571428594829,-1.4553571427800367,6.258928571374866
-2.3571428571428483,6.366071428569153,8.723214285712002
-2.7589285714791574,8.062499999999979,10.821428571479135
5.25892857143822,-0.5892857142611057,5.848214285699326
7.348214285714325,-5.074999999999978,12.423214285714302
4.723214285759195,-1.7499999999999778,6.473214285759173
4.883928571428584,-2.7410714285238145,7.624999999952398
4.928571428562596,-1.5357142857142594,6.464285714276855
-2.544642857174208,6.178571428604287,8.723214285778495
-3.5982142857142527,8.97500000000011,12.573214285714363
-0.8750000000000732,4.274999999999937,5.15000000000001
5.999999999996054,-0.8839285714285663,6.883928571424621
5.160714285714296,-2.3214285714285388,7.482142857142835
5.098214285714276,-0.049999999999936,5.148214285714212
13.723214285652295,-5.67857142857137,19.401785714223664
7.758928571428508,-3.223214285714316,10.982142857142824
6.800000000100332,-0.6500000000000034,7.450000000100335
7.928571428566856,-0.937500000100538,8.866071428667393
4.803571428594829,-1.4553571427800367,6.258928571374866
-2.3571428571428483,6.366071428569153,8.723214285712002
-2.7589285714791574,8.062499999999979,10.821428571479135
5.25892857143822,-0.5892857142611057,5.848214285699326
7.348214285714325,-5.074999999999978,12.423214285714302
4.723214285759195,-1.7499999999999778,6.473214285759173
4.883928571428584,-2.7410714285238145,7.624999999952398
4.928571428562596,-1.5357142857142594,6.464285714276855
-2.544642857174208,6.178571428604287,8.723214285778495
-3.5982142857142527,8.97500000000011,12.573214285714363
-0.8750000000000732,4.274999999999937,5.15000000000001
5.999999999996054,-0.8839285714285663,6.883928571424621
5.160714285714296,-2.3214285714285388,7.482142857142835
5.098214285714276,-0.049999999999936,5.148214285714212
13.723214285652295,-5.67857142857137,19.401785714223664
-1.5446428572449482,7.107142857142863,8.651785714387811
-0.5267857140999073,4.875000000000104,5.401785714100011
-1.9107142857142392,6.500000000000008,8.410714285714247
-4.589285714258071,7.764285714285705,12.353571428543777
-1.8749999999999591,4.9071428571427935,6.782142857142753
-0.9375000000000036,4.482142857163093,5.419642857163097
-0.8857142857142873,7.325000000000029,8.210714285714316
-1.6428571428571477,6.149999999999942,7.792857142857089
-2.1249999996284457,7.116071428571422,9.241071428199866
5.303571428571451,-0.392857142857132,5.696428571428583
4.258928571428576,-1.024999999986135,5.283928571414711
-3.874999999999957,5.249999999999987,9.124999999999943
-2.224999999999964,7.478571428571413,9.703571428571376
5.42857142857141,-0.428571428571436,5.857142857142846
4.455357142857111,-0.3928571425803163,4.848214285437428
5.991071428571425,-1.6071428571428827,7.598214285714308
6.491071428512459,-4.705357142796658,11.196428571309117
4.205357142857135,-1.28571428560714,5.491071428464275
8.464285714305763,-2.6696428571428523,11.133928571448616
5.866071428572223,-2.9285714286931404,8.794642857265362
4.585714285714298,-1.06249999997441,5.648214285688708
7.250000000065334,-3.062499999988454,10.312500000053788
8.464285714285742,-2.964285714261255,11.428571428546997
7.544642857142866,-1.357142857142852,8.901785714285717
-2.7767857142051326,8.249999999987692,11.026785714192824
-2.205357142838237,7.6607142857143,9.866071428552537
-3.25892857142857,7.482142857152811,10.74107142858138
-1.116071428571434,4.473214285676749,5.5892857142481835
-0.3750000000000006,4.312499999999997,4.687499999999998
4.482142857166306,-0.7232142857142744,5.20535714288058
7.500000000003789,-3.450000000000017,10.950000000003806
4.500000000000006,-1.224999999814386,5.724999999814392
-0.6607142857142505,7.6071428571752655,8.267857142889516
-1.9910714285714324,4.687500000000007,6.6785714285714395
-6.749999999999993,13.098214285714285,19.848214285714278
-1.2857142857142358,5.241071428565187,6.526785714279423
-1.285714285680452,5.0892857142857135,6.374999999966166
-1.785714285714216,5.07857142857143,6.864285714285646
-2.187499999998757,6.964285714285721,9.151785714284477
-3.482142857142893,7.392857142857165,10.875000000000059
-0.9285714276032164,5.249999999999985,6.1785714276032015
-1.0267857141109455,8.34999999999318,9.376785714104125
-3.0446428571245487,7.964285714272965,11.008928571397513
-3.2642857142735124,7.750000000029962,11.014285714303474
-2.500000000000005,6.616071428571411,9.116071428571416
8.107142857431747,-3.000000000014507,11.107142857446254
5.116071428571421,-0.1250000012180725,5.241071429789494
5.223214285723066,-0.8214285714285852,6.0446428571516515
6.848214285709521,-0.9553571428571442,7.8035714285666655
-1.696428571428558,6.7857142857143,8.482142857142858
-1.41964285668576,6.625000000000013,8.044642856685773
-3.732142857043294,2.401785714285717,6.133928571329012
-1.5446428572449482,7.107142857142863,8.651785714387811
-0.5267857140999073,4.875000000000104,5.401785714100011
-1.9107142857142392,6.500000000000008,8.410714285714247
-4.589285714258071,7.764285714285705,12.353571428543777
-1.8749999999999591,4.9071428571427935,6.782142857142753
-0.9375000000000036,4.482142857163093,5.419642857163097
-0.8857142857142873,7.325000000000029,8.210714285714316
-1.6428571428571477,6.149999999999942,7.792857142857089
-2.1249999996284457,7.116071428571422,9.241071428199866
5.303571428571451,-0.392857142857132,5.696428571428583
4.258928571428576,-1.024999999986135,5.283928571414711
-3.874999999999957,5.249999999999987,9.124999999999943
-2.224999999999964,7.478571428571413,9.703571428571376
5.42857142857141,-0.428571428571436,5.857142857142846
4.455357142857111,-0.3928571425803163,4.848214285437428
5.991071428571425,-1.6071428571428827,7.598214285714308
6.491071428512459,-4.705357142796658,11.196428571309117
4.205357142857135,-1.28571428560714,5.491071428464275
8.464285714305763,-2.6696428571428523,11.133928571448616
5.866071428572223,-2.9285714286931404,8.794642857265362
