0.000000000000000000e+00,1.470000000000000000e+02,nan,nan
1.000000000000000000e+00,1.520000000000000000e+02,nan,nan
2.000000000000000000e+00,1.520000000000000000e+02,nan,nan
3.000000000000000000e+00,1.550000000000000000e+02,nan,nan
4.000000000000000000e+00,1.540000000000000000e+02,nan,nan
5.000000000000000000e+00,1.550000000000000000e+02,nan,nan
6.000000000000000000e+00,1.610000000000000000e+02,nan,nan
7.000000000000000000e+00,1.620000000000000000e+02,2.190000000000000000e+02,nan
8.000000000000000000e+00,1.650000000000000000e+02,2.220000000000000000e+02,nan
9.000000000000000000e+00,1.650000000000000000e+02,2.190000000000000000e+02,nan
1.000000000000000000e+01,1.670000000000000000e+02,2.200000000000000000e+02,nan
1.100000000000000000e+01,1.690000000000000000e+02,2.230000000000000000e+02,nan
1.200000000000000000e+01,1.720000000000000000e+02,2.260000000000000000e+02,nan
1.300000000000000000e+01,1.770000000000000000e+02,2.250000000000000000e+02,nan
1.400000000000000000e+01,1.790000000000000000e+02,2.260000000000000000e+02,nan
1.500000000000000000e+01,1.810000000000000000e+02,2.290000000000000000e+02,nan
1.600000000000000000e+01,1.810000000000000000e+02,2.320000000000000000e+02,nan
1.700000000000000000e+01,1.800000000000000000e+02,2.330000000000000000e+02,nan
1.800000000000000000e+01,1.870000000000000000e+02,2.350000000000000000e+02,nan
1.900000000000000000e+01,1.930000000000000000e+02,2.360000000000000000e+02,nan
2.000000000000000000e+01,1.980000000000000000e+02,2.370000000000000000e+02,nan
2.100000000000000000e+01,1.920000000000000000e+02,2.330000000000000000e+02,nan
2.200000000000000000e+01,1.890000000000000000e+02,2.400000000000000000e+02,nan
2.300000000000000000e+01,1.930000000000000000e+02,2.430000000000000000e+02,nan
2.400000000000000000e+01,1.970000000000000000e+02,2.430000000000000000e+02,nan
2.500000000000000000e+01,2.080000000000000000e+02,2.500000000000000000e+02,nan
2.600000000000000000e+01,2.050000000000000000e+02,2.470000000000000000e+02,nan
2.700000000000000000e+01,2.110000000000000000e+02,2.500000000000000000e+02,nan
2.800000000000000000e+01,2.160000000000000000e+02,2.520000000000000000e+02,nan
2.900000000000000000e+01,2.130000000000000000e+02,2.560000000000000000e+02,nan
3.000000000000000000e+01,2.120000000000000000e+02,2.600000000000000000e+02,nan
3.100000000000000000e+01,nan,2.580000000000000000e+02,nan
3.200000000000000000e+01,nan,2.610000000000000000e+02,nan
3.300000000000000000e+01,nan,2.600000000000000000e+02,nan
3.400000000000000000e+01,nan,2.640000000000000000e+02,nan
3.500000000000000000e+01,nan,2.670000000000000000e+02,nan
3.600000000000000000e+01,nan,2.710000000000000000e+02,nan
3.700000000000000000e+01,nan,2.710000000000000000e+02,nan
3.800000000000000000e+01,nan,2.740000000000000000e+02,nan
3.900000000000000000e+01,nan,2.740000000000000000e+02,nan
4.000000000000000000e+01,nan,2.750000000000000000e+02,nan
4.100000000000000000e+01,nan,2.790000000000000000e+02,nan
4.200000000000000000e+01,nan,2.810000000000000000e+02,nan
4.300000000000000000e+01,nan,2.890000000000000000e+02,nan
4.400000000000000000e+01,nan,2.910000000000000000e+02,nan
4.500000000000000000e+01,nan,2.900000000000000000e+02,4.910000000000000000e+02
4.600000000000000000e+01,nan,2.950000000000000000e+02,4.930000000000000000e+02
4.700000000000000000e+01,nan,nan,4.950000000000000000e+02
4.800000000000000000e+01,nan,nan,4.940000000000000000e+02
4.900000000000000000e+01,nan,nan,4.960000000000000000e+02
5.000000000000000000e+01,nan,nan,5.050000000000000000e+02
5.100000000000000000e+01,nan,nan,5.040000000000000000e+02
5.200000000000000000e+01,nan,nan,5.050000000000000000e+02
5.300000000000000000e+01,nan,nan,5.080000000000000000e+02
5.400000000000000000e+01,nan,nan,5.110000000000000000e+02
5.500000000000000000e+01,nan,nan,5.120000000000000000e+02
5.600000000000000000e+01,nan,nan,5.160000000000000000e+02
5.700000000000000000e+01,nan,nan,5.160000000000000000e+02
5.800000000000000000e+01,nan,nan,5.170000000000000000e+02
