0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,nan,4.930000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,nan,4.950000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,nan,4.970000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,nan,4.970000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,nan,5.000000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,nan,5.020000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,nan,5.050000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,nan,5.090000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,nan,5.080000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,nan,5.090000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200000000000000000e+01,nan,5.080000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300000000000000000e+01,nan,5.150000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400000000000000000e+01,nan,5.230000000000000000e+02,2.210000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
1.500000000000000000e+01,nan,5.280000000000000000e+02,2.270000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
1.600000000000000000e+01,nan,5.190000000000000000e+02,2.250000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,nan,nan,2.260000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
1.800000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
