#Prevodni charakteristika tranzistoru
#napeti Ug (V) proud Id (mA) napeti Ud (V)
0.0 -9.59138682e-05 15.0
0.02 -0.00012573088600000001 15.0
0.04 -0.000124276004 15.0
0.06 7.00464751e-05 15.0
0.08 -0.000127234188 15.0
0.1 5.31550835e-05 15.0
0.12000000000000001 -0.000125560266 15.0
0.14 5.43217562e-05 15.0
0.16 -0.00011307271800000001 15.0
0.18 1.49315659e-05 15.0
0.19999999999999998 -9.297643539999999e-05 15.0
0.21999999999999997 -3.69876745e-05 15.0
0.23999999999999996 -7.85313673e-05 15.0
0.25999999999999995 -7.46785807e-05 15.0
0.27999999999999997 -4.1744286699999996e-05 15.0
0.3 -0.00012583464200000002 15.0
0.32 -4.02502079e-05 15.0
0.34 -0.000127480895 15.0
0.36000000000000004 -1.7530064199999998e-05 15.0
0.38000000000000006 -0.000109134622 15.0
0.4000000000000001 1.59783434e-06 15.0
0.4200000000000001 -9.3993239e-05 15.0
0.4400000000000001 1.48647013e-05 15.0
0.46000000000000013 -8.65389845e-05 15.0
0.48000000000000015 3.99228017e-05 15.0
0.5000000000000001 -7.02862655e-05 15.0
0.5200000000000001 6.59654263e-05 15.0
0.5400000000000001 -3.32017525e-05 15.0
0.5600000000000002 9.26813087e-05 15.0
0.5800000000000002 -1.81479857e-05 15.0
0.6000000000000002 9.22893435e-05 15.0
0.6200000000000002 -1.0407827100000001e-05 15.0
0.6400000000000002 0.000100183982 15.0
0.6600000000000003 8.65320674e-06 15.0
0.6800000000000003 9.51137982e-05 15.0
0.7000000000000003 1.39608758e-05 15.0
0.7200000000000003 0.000101505136 15.0
0.7400000000000003 5.15664718e-05 15.0
0.7600000000000003 9.983121390000001e-05 15.0
0.7800000000000004 7.67583015e-05 15.0
0.8000000000000004 9.77768554e-05 15.0
0.8200000000000004 8.87801028e-05 15.0
0.8400000000000004 6.62789984e-05 15.0
0.8600000000000004 0.000104749223 15.0
0.8800000000000004 3.9648426099999994e-05 15.0
0.9000000000000005 9.12425661e-05 15.0
0.9200000000000005 1.08966307e-05 15.0
0.9400000000000005 9.017964890000001e-05 15.0
0.9600000000000005 -3.10920578e-05 15.0
0.9800000000000005 9.61421302e-05 15.0
1.0000000000000004 -7.52204148e-05 15.0
1.0200000000000005 0.000102219895 15.0
1.0400000000000005 -8.436011950000001e-05 15.0
1.0600000000000005 9.46780252e-05 15.0
1.0800000000000005 -0.000115136299 15.0
1.1000000000000005 6.77338808e-05 15.0
1.1200000000000006 -0.00011087540800000001 15.0
1.1400000000000006 8.96677885e-06 15.0
1.1600000000000006 -0.000105265695 15.0
1.1800000000000006 2.52702227e-06 15.0
1.2000000000000006 -9.687533559999999e-05 15.0
1.2200000000000006 -3.0063725699999998e-05 15.0
1.2400000000000007 -8.34378486e-05 15.0
1.2600000000000007 -8.73090807e-05 15.0
1.2800000000000007 -7.088343589999999e-05 15.0
1.3000000000000007 -9.28542345e-05 15.0
1.3200000000000007 -4.74969515e-05 15.0
1.3400000000000007 -0.00012172823100000001 15.0
1.3600000000000008 -1.96974008e-05 15.0
1.3800000000000008 -0.00011538531299999999 15.0
1.4000000000000008 -1.84984486e-05 15.0
1.4200000000000008 -0.000113586884 15.0
1.4400000000000008 -5.7757215299999996e-06 15.0
1.4600000000000009 -9.42514749e-05 15.0
1.4800000000000009 3.4836477699999996e-05 15.0
1.5000000000000009 -8.146880020000001e-05 15.0
1.520000000000001 5.99637484e-05 15.0
1.540000000000001 -6.0583975599999996e-05 15.0
1.560000000000001 6.739264050000001e-05 15.0
1.580000000000001 -4.15621382e-05 15.0
1.600000000000001 9.76823227e-05 15.0
1.620000000000001 -1.71657672e-05 15.0
1.640000000000001 9.52014139e-05 15.0
1.660000000000001 -8.59095346e-06 15.0
1.680000000000001 0.000101744926 15.0
1.700000000000001 9.1950409e-06 15.0
1.720000000000001 9.51045755e-05 15.0
1.740000000000001 4.22446187e-05 15.0
1.7600000000000011 9.61329075e-05 15.0
