#Vystupni charakteristika tranzistoru
#napeti Ud (V) proud Id (mA) napeti Ug (V)
0.0 -0.0606532177 3.5
0.1 2.36526221 3.5
0.2 2.54083707 3.5
0.30000000000000004 2.59531879 3.5
0.4 2.65122469 3.5
0.5 2.66349431 3.5
0.6 2.68874451 3.5
0.7 2.69267079 3.5
0.7999999999999999 2.6982873 3.5
0.8999999999999999 2.7088552200000002 3.5
0.9999999999999999 2.7147584 3.5
1.0999999999999999 2.7491179399999996 3.5
1.2 2.73534385 3.5
1.3 2.76341033 3.5
1.4000000000000001 2.7430244 3.5
1.5000000000000002 2.78217023 3.5
1.6000000000000003 2.74365967 3.5
1.7000000000000004 2.77536805 3.5
1.8000000000000005 2.7513494 3.5
1.9000000000000006 2.77679683 3.5
2.0000000000000004 2.75822727 3.5
2.1000000000000005 2.78006949 3.5
2.2000000000000006 2.74345785 3.5
2.3000000000000007 2.7835439699999998 3.5
2.400000000000001 2.75566097 3.5
2.500000000000001 2.78366552 3.5
2.600000000000001 2.79758868 3.5
2.700000000000001 2.78594286 3.5
2.800000000000001 2.81294291 3.5
2.9000000000000012 2.79374037 3.5
3.0000000000000013 2.81263101 3.5
3.1000000000000014 2.78343848 3.5
3.2000000000000015 2.82603586 3.5
3.3000000000000016 2.77725092 3.5
3.4000000000000017 2.83463606 3.5
3.5000000000000018 2.8011182 3.5
3.600000000000002 2.84599521 3.5
3.700000000000002 2.83280823 3.5
3.800000000000002 2.8429105999999997 3.5
3.900000000000002 2.84761205 3.5
4.000000000000002 2.8707523299999997 3.5
4.100000000000001 2.84980911 3.5
4.200000000000001 2.88780825 3.5
4.300000000000001 2.86426433 3.5
4.4 2.8660875800000003 3.5
4.5 2.86806677 3.5
4.6 2.86382859 3.5
4.699999999999999 2.87608904 3.5
4.799999999999999 2.86331716 3.5
4.899999999999999 2.89109238 3.5
4.999999999999998 2.86361301 3.5
5.099999999999998 2.90668053 3.5
5.1999999999999975 2.87028906 3.5
5.299999999999997 2.89977514 3.5
5.399999999999997 2.86477576 3.5
5.4999999999999964 2.88169866 3.5
5.599999999999996 2.87258704 3.5
5.699999999999996 2.88732434 3.5
5.799999999999995 2.85746215 3.5
5.899999999999995 2.89328486 3.5
5.999999999999995 2.8523547700000003 3.5
6.099999999999994 2.88771422 3.5
6.199999999999994 2.87746966 3.5
6.299999999999994 2.89518837 3.5
6.399999999999993 2.90354089 3.5
6.499999999999993 2.8800611899999997 3.5
6.5999999999999925 2.90817812 3.5
6.699999999999992 2.87636195 3.5
6.799999999999992 2.9156408 3.5
6.8999999999999915 2.880646 3.5
6.999999999999991 2.93499469 3.5
7.099999999999991 2.8890374999999997 3.5
7.19999999999999 2.92612387 3.5
7.29999999999999 2.92111741 3.5
7.39999999999999 2.94454895 3.5
7.499999999999989 2.93486168 3.5
7.599999999999989 2.95748136 3.5
7.699999999999989 2.94315915 3.5
7.799999999999988 2.97124627 3.5
7.899999999999988 2.94607405 3.5
7.999999999999988 2.9537270799999997 3.5
8.099999999999987 2.94892932 3.5
8.199999999999987 2.94944074 3.5
8.299999999999986 2.95987566 3.5
8.399999999999986 2.94956229 3.5
8.499999999999986 2.97569315 3.5
8.599999999999985 2.9476702500000003 3.5
8.699999999999985 2.98776325 3.5
8.799999999999985 2.9497411799999997 3.5
8.899999999999984 2.98116746 3.5
8.999999999999984 2.94987649 3.5
9.099999999999984 2.97016608 3.5
9.199999999999983 2.95624293 3.5
9.299999999999983 2.9631460300000003 3.5
9.399999999999983 2.93921223 3.5
9.499999999999982 2.9758812100000003 3.5
9.599999999999982 2.93200641 3.5
9.699999999999982 2.9727874300000003 3.5
9.799999999999981 2.95156671 3.5
9.89999999999998 2.9687487700000004 3.5
9.99999999999998 2.9757390200000002 3.5
10.09999999999998 2.9713104799999996 3.5
10.19999999999998 2.98673122 3.5
10.29999999999998 2.97150084 3.5
10.399999999999979 3.0045439600000003 3.5
10.499999999999979 2.9540114600000003 3.5
10.599999999999978 3.00515859 3.5
10.699999999999978 2.98442178 3.5
10.799999999999978 3.00890828 3.5
10.899999999999977 2.98573589 3.5
10.999999999999977 3.01502474 3.5
11.099999999999977 3.0061447500000003 3.5
