lambda_nm,intensity,lambda_ref,intensity_ref,delta_lambda,lambda_nm_corr,delta2,lambda_nm_corr2,intensity_corr,N,S
299.70798,239.666656494,,,,303.6635325,-4.044359492794858,303.7523394927949,-17.58431432388238,,
299.71399,242.333312988,,,,303.66954250000003,-4.044243051096873,303.7582330510969,-14.917657829882387,,
299.72,254.0,,,,303.6755525,-4.044126609398889,303.76412660939894,-3.2509708178823757,,
299.72604,257.0,,,,303.68159249999997,-4.044009586461147,303.77004958646114,-0.25097081788237574,,
299.73206,239.333312988,,,,303.6876125,-4.043892951016577,303.77595295101656,-17.917657829882387,,
299.73807,257.666656494,,,,303.69362249999995,-4.043776509318593,303.7818465093186,0.41568567611761864,,
299.74408,265.0,,,,303.6996325,-4.043660067620608,303.78774006762063,7.749029182117624,,
299.75009,273.0,,,,303.70564249999995,-4.043543625922623,303.7936336259226,15.749029182117624,,
299.75613,267.666656494,,,,303.71168249999994,-4.043426602984882,303.79955660298486,10.415685676117619,,
299.76215,240.333312988,,,,303.7177025,-4.043309967540311,303.80545996754034,-16.917657829882387,,
299.76816,255.333312988,,,,303.72371250000003,-4.043193525842326,303.8113535258423,-1.917657829882387,,
299.77417,250.666656494,,,,303.7297225,-4.0430770841443415,303.81724708414436,-6.584314323882381,,
299.78021,251.333312988,,,,303.73576249999996,-4.0429600612066,303.8231700612066,-5.917657829882387,,
299.78622,242.666656494,,,,303.7417725,-4.042843619508615,303.82906361950864,-14.584314323882381,,
299.79224,259.333312988,,,,303.74779249999995,-4.042726984064045,303.834966984064,2.082342170117613,,
299.79825,263.333312988,,,,303.7538025,-4.04261054236606,303.84086054236604,6.082342170117613,,
299.80426,274.0,,,,303.75981249999995,-4.042494100668075,303.8467541006681,16.749029182117624,,
299.8103,251.666656494,,,,303.76585249999994,-4.042377077730334,303.85267707773033,-5.584314323882381,,
299.81631,248.666656494,,,,303.7718625,-4.042260636032349,303.8585706360323,-8.584314323882381,,
299.82233,258.0,,,,303.77788250000003,-4.042144000587778,303.8644740005878,0.7490291821176243,,
299.82834,244.0,,,,303.7838925,-4.042027558889794,303.8703675588898,-13.250970817882376,,
299.83435,264.0,,,,303.7899024999999,-4.04191111719181,303.8762611171918,6.749029182117624,,
299.84036,263.333312988,,,,303.7959125,-4.041794675493826,303.8821546754938,6.082342170117613,,
299.84641,247.0,,,,303.80196249999995,-4.041677458809498,303.8880874588095,-10.250970817882376,,
299.85242,253.333312988,,,,303.8079725,-4.041561017111513,303.8939810171115,-3.917657829882387,,
299.85843,242.666656494,,,,303.81398249999995,-4.041444575413528,303.89987457541355,-14.584314323882381,,
299.86444,256.333312988,,,,303.8199925,-4.041328133715544,303.9057681337155,-0.917657829882387,,
299.87045,242.666656494,,,,303.82600249999996,-4.0412116920175585,303.91166169201756,-14.584314323882381,,
299.87646,255.0,,,,303.8320125,-4.041095250319574,303.9175552503196,-2.2509708178823757,,
299.88251,247.0,,,,303.8380625,-4.0409780336352465,303.9234880336353,-10.250970817882376,,
299.88852,268.666656494,,,,303.84407250000004,-4.0408615919372615,303.9293815919373,11.415685676117619,,
299.89453,233.333312988,,,,303.8500825,-4.040745150239278,303.93527515023925,-23.917657829882387,,
299.90054,251.0,,,,303.85609249999993,-4.040628708541293,303.9411687085413,-6.250970817882376,,
299.90656,250.333312988,,,,303.86211249999997,-4.040512073096722,303.94707207309676,-6.917657829882387,,
299.91257,253.0,,,,303.8681225,-4.040395631398737,303.95296563139874,-4.250970817882376,,
299.91858,260.333312988,,,,303.8741325,-4.040279189700753,303.9588591897008,3.082342170117613,,
299.92462,222.0,,,,303.88017249999996,-4.040162166763011,303.96478216676303,-35.250970817882376,,
299.93063,245.0,,,,303.8861825,-4.040045725065027,303.970675725065,-12.250970817882376,,
299.93665,254.0,,,,303.89220249999994,-4.039929089620457,303.97657908962043,-3.2509708178823757,,
299.94266,249.666656494,,,,303.8982125,-4.039812647922472,303.98247264792246,-7.584314323882381,,
299.94867,254.333312988,,,,303.90422249999995,-4.039696206224487,303.9883662062245,-2.917657829882387,,
299.95468,270.333312988,,,,303.9102325,-4.039579764526502,303.9942597645265,13.082342170117613,,
299.96069,242.0,,,,303.91624249999995,-4.039463322828517,304.0001533228285,-15.250970817882376,,
299.96671,242.333312988,,,,303.9222625,-4.039346687383948,304.00605668738393,-14.917657829882387,,
299.97272,247.333312988,,,,303.92827249999993,-4.039230245685963,304.01195024568597,-9.917657829882387,,
299.97876,248.333312988,,,,303.93431250000003,-4.03911322274822,304.0178732227482,-8.917657829882387,,
299.98477,261.666656494,,,,303.9403225,-4.038996781050236,304.02376678105026,4.415685676117619,,
299.99078,258.333312988,,,,303.9463324999999,-4.038880339352252,304.02966033935223,1.082342170117613,,
299.9968,264.666656494,,,,303.95235249999996,-4.038763703907681,304.0355637039077,7.415685676117619,,
300.00281,262.0,,,,303.9583625,-4.038647262209696,304.0414572622097,4.749029182117624,,
300.00882,276.333312988,,,,303.96437249999997,-4.038530820511712,304.0473508205117,19.082342170117613,,
300.01483,269.666656494,,,,303.9703825,-4.038414378813727,304.05324437881376,12.415685676117619,,
300.02084,245.333312988,,,,303.9763925,-4.038297937115742,304.05913793711574,-11.917657829882387,,
300.02686,266.0,,,,303.9824125,-4.038181301671172,304.06504130167116,8.749029182117624,,
300.03287,250.0,,,,303.98842249999996,-4.038064859973187,304.0709348599732,-7.250970817882376,,
300.03888,282.333312988,,,,303.9944325,-4.037948418275203,304.0768284182752,25.082342170117613,,
300.04489,253.666656494,,,,304.00044249999996,-4.037831976577218,304.0827219765772,-3.5843143238823814,,
300.0509,265.666656494,,,,304.0064525,-4.037715534879233,304.08861553487924,8.415685676117619,,
300.05692,261.333312988,,,,304.01247249999994,-4.037598899434663,304.09451889943466,4.082342170117613,,
300.06293,253.333312988,,,,304.0184825,-4.037482457736679,304.1004124577367,-3.917657829882387,,
300.06897,263.0,,,,304.0245225,-4.037365434798937,304.1063354347989,5.749029182117624,,
300.07498,250.0,,,,304.03053249999994,-4.0372489931009525,304.1122289931009,-7.250970817882376,,
300.08099,253.666656494,,,,304.0365425,-4.0371325514029675,304.11812255140296,-3.5843143238823814,,
300.08701,257.666656494,,,,304.04256250000003,-4.0370159159583965,304.12402591595844,0.41568567611761864,,
300.09302,257.0,,,,304.0485725,-4.036899474260411,304.1299194742604,-0.25097081788237574,,
300.09903,275.666656494,,,,304.05458250000004,-4.036783032562427,304.13581303256245,18.41568567611762,,
300.10504,260.333312988,,,,304.0605925,-4.036666590864443,304.14170659086443,3.082342170117613,,
300.11105,261.333312988,,,,304.06660249999993,-4.036550149166459,304.14760014916646,4.082342170117613,,
300.11707,287.333312988,,,,304.07262249999997,-4.036433513721888,304.1535035137219,30.082342170117613,,
300.12308,251.666656494,,,,304.0786325,-4.036317072023903,304.1593970720239,-5.584314323882381,,
300.12909,240.666656494,,,,304.0846425,-4.036200630325918,304.16529063032596,-16.58431432388238,,
300.1351,238.666656494,,,,304.09065250000003,-4.0360841886279335,304.17118418862793,-18.58431432388238,,
300.14111,262.0,,,,304.0966625,-4.035967746929948,304.17707774692997,4.749029182117624,,
300.14713,266.333312988,,,,304.1026825,-4.035851111485378,304.1829811114854,9.082342170117613,,
300.15314,261.666656494,,,,304.10869249999996,-4.035734669787394,304.1888746697874,4.415685676117619,,
300.15915,237.666656494,,,,304.1147025,-4.035618228089409,304.1947682280894,-19.58431432388238,,
300.16516,261.0,,,,304.12071249999997,-4.035501786391425,304.20066178639144,3.7490291821176243,,
300.17117,244.666656494,,,,304.1267225,-4.03538534469344,304.20655534469347,-12.584314323882381,,
300.17719,264.333312988,,,,304.13274249999995,-4.03526870924887,304.2124587092489,7.082342170117613,,
300.1832,232.0,,,,304.1387525,-4.035152267550885,304.21835226755087,-25.250970817882376,,
300.18921,257.666656494,,,,304.14476249999996,-4.0350358258529,304.2242458258529,0.41568567611761864,,
300.19522,269.333312988,,,,304.1507725,-4.034919384154915,304.23013938415494,12.082342170117613,,
300.2012,260.333312988,,,,304.1567524999999,-4.034803523696689,304.23600352369664,3.082342170117613,,
300.20721,233.0,,,,304.1627625,-4.034687081998704,304.2418970819987,-24.250970817882376,,
300.21323,243.666656494,,,,304.1687825,-4.034570446554133,304.24780044655415,-13.584314323882381,,
300.21924,262.0,,,,304.17479249999997,-4.034454004856148,304.2536940048562,4.749029182117624,,
300.22525,255.0,,,,304.1808025,-4.0343375631581635,304.25958756315816,-2.2509708178823757,,
300.23126,252.0,,,,304.1868125,-4.034221121460178,304.2654811214602,-5.250970817882376,,
300.23727,251.666656494,,,,304.19282250000003,-4.034104679762193,304.27137467976223,-5.584314323882381,,
300.24329,264.666656494,,,,304.19884249999996,-4.033988044317624,304.27727804431765,7.415685676117619,,
300.2493,251.666656494,,,,304.2048525,-4.033871602619639,304.28317160261963,-5.584314323882381,,
300.25531,262.0,,,,304.21086249999996,-4.033755160921654,304.28906516092167,4.749029182117624,,
300.26132,265.0,,,,304.2168725,-4.03363871922367,304.2949587192237,7.749029182117624,,
300.26733,252.0,,,,304.22288249999997,-4.033522277525685,304.3008522775257,-5.250970817882376,,
300.27335,251.0,,,,304.2289025,-4.033405642081115,304.3067556420811,-6.250970817882376,,
300.27936,260.0,,,,304.23491249999995,-4.03328920038313,304.31264920038313,2.7490291821176243,,
300.28537,264.333312988,,,,304.2409225,-4.033172758685145,304.31854275868517,7.082342170117613,,
300.29135,242.666656494,,,,304.24690250000003,-4.033056898226917,304.3244068982269,-14.584314323882381,,
300.29736,233.666656494,,,,304.2529125,-4.032940456528933,304.33030045652896,-23.58431432388238,,
300.30338,246.0,,,,304.2589325,-4.032823821084363,304.3362038210844,-11.250970817882376,,
300.30939,250.666656494,,,,304.26494249999996,-4.032707379386378,304.34209737938636,-6.584314323882381,,
300.3154,252.666656494,,,,304.2709525,-4.0325909376883935,304.3479909376884,-4.584314323882381,,
300.32141,244.666656494,,,,304.27696249999997,-4.032474495990408,304.3538844959904,-12.584314323882381,,
300.32742,247.666656494,,,,304.2829725,-4.032358054292423,304.35977805429246,-9.584314323882381,,
300.33344,235.0,,,,304.28899249999995,-4.032241418847854,304.3656814188478,-22.250970817882376,,
300.33945,265.666656494,,,,304.2950025,-4.032124977149869,304.37157497714986,8.415685676117619,,
300.34543,279.0,,,,304.30098250000003,-4.032009116691641,304.3774391166917,21.749029182117624,,
300.35144,261.0,,,,304.3069925,-4.0318926749936566,304.38333267499365,3.7490291821176243,,
300.35745,242.0,,,,304.3130024999999,-4.031776233295672,304.38922623329563,-15.250970817882376,,
300.36346,257.666656494,,,,304.3190125,-4.031659791597688,304.39511979159766,0.41568567611761864,,
300.36948,254.333312988,,,,304.3250325,-4.031543156153116,304.40102315615314,-2.917657829882387,,
300.37549,260.666656494,,,,304.33104249999997,-4.031426714455132,304.4069167144551,3.4156856761176186,,
300.3815,253.666656494,,,,304.3370525,-4.031310272757147,304.41281027275716,-3.5843143238823814,,
300.38751,265.333312988,,,,304.3430625,-4.031193831059163,304.4187038310592,8.082342170117613,,
300.39349,257.333312988,,,,304.3490425,-4.031077970600935,304.42456797060095,0.08234217011761302,,
300.39951,273.0,,,,304.35506250000003,-4.0309613351563645,304.43047133515637,15.749029182117624,,
300.40552,302.333312988,,,,304.3610725,-4.030844893458379,304.4363648934584,45.08234217011761,,
300.41153,299.666656494,,,,304.36708250000004,-4.030728451760395,304.44225845176044,42.41568567611762,,
300.41754,279.0,,,,304.3730925,-4.030612010062411,304.44815201006236,21.749029182117624,,
300.42355,265.666656494,,,,304.37910249999993,-4.030495568364427,304.4540455683644,8.415685676117619,,
300.42953,252.333312988,,,,304.38508249999995,-4.0303797079061985,304.4599097079062,-4.917657829882387,,
300.43555,257.0,,,,304.3911025,-4.030263072461628,304.46581307246163,-0.25097081788237574,,
300.44156,253.333312988,,,,304.39711249999993,-4.030146630763643,304.4717066307636,-3.917657829882387,,
300.44757,251.333312988,,,,304.4031225,-4.030030189065659,304.47760018906564,-5.917657829882387,,
300.45358,260.0,,,,304.40913249999994,-4.029913747367674,304.4834937473677,2.7490291821176243,,
300.45956,259.0,,,,304.41511249999996,-4.029797886909446,304.48935788690943,1.7490291821176243,,
300.46558,231.666656494,,,,304.4211325,-4.0296812514648765,304.49526125146485,-25.58431432388238,,
300.47159,238.0,,,,304.42714249999995,-4.0295648097668915,304.5011548097669,-19.250970817882376,,
300.4776,265.666656494,,,,304.4331525,-4.029448368068906,304.5070483680689,8.415685676117619,,
300.48361,251.666656494,,,,304.43916249999995,-4.029331926370922,304.5129419263709,-5.584314323882381,,
300.48959,249.0,,,,304.4451425,-4.029216065912694,304.5188060659127,-8.250970817882376,,
300.49561,271.333312988,,,,304.4511625,-4.029099430468124,304.52470943046814,14.082342170117613,,
300.50162,247.333312988,,,,304.45717249999996,-4.02898298877014,304.53060298877017,-9.917657829882387,,
300.50763,254.333312988,,,,304.4631825,-4.0288665470721545,304.53649654707215,-2.917657829882387,,
300.51364,242.666656494,,,,304.46919249999996,-4.028750105374169,304.5423901053742,-14.584314323882381,,
300.51962,251.333312988,,,,304.4751725,-4.028634244915943,304.54825424491594,-5.917657829882387,,
300.52563,247.666656494,,,,304.48118249999993,-4.028517803217958,304.5541478032179,-9.584314323882381,,
300.53165,258.333312988,,,,304.48720249999997,-4.028401167773387,304.5600511677734,1.082342170117613,,
300.53766,237.666656494,,,,304.4932125,-4.028284726075402,304.56594472607543,-19.58431432388238,,
300.54364,274.666656494,,,,304.49919249999994,-4.028168865617175,304.5718088656172,17.41568567611762,,
300.54965,255.0,,,,304.5052025,-4.02805242391919,304.57770242391916,-2.2509708178823757,,
300.55566,227.333312988,,,,304.51121249999994,-4.027935982221206,304.5835959822212,-29.917657829882387,,
300.56168,261.666656494,,,,304.5172325,-4.027819346776635,304.5894993467767,4.415685676117619,,
300.56766,235.666656494,,,,304.5232125,-4.027703486318408,304.5953634863184,-21.58431432388238,,
300.57367,252.666656494,,,,304.52922249999995,-4.0275870446204225,304.6012570446204,-4.584314323882381,,
300.57968,267.333312988,,,,304.5352325,-4.027470602922438,304.60715060292245,10.082342170117613,,
300.58569,262.0,,,,304.54124249999995,-4.027354161224453,304.6130441612245,4.749029182117624,,
300.59167,227.333312988,,,,304.5472225,-4.027238300766225,304.61890830076624,-29.917657829882387,,
300.59769,263.0,,,,304.5532425,-4.027121665321656,304.62481166532166,5.749029182117624,,
300.6037,244.666656494,,,,304.55925249999996,-4.027005223623671,304.6307052236237,-12.584314323882381,,
300.60968,271.666656494,,,,304.5652325,-4.026889363165442,304.63656936316545,14.415685676117619,,
300.61569,233.333312988,,,,304.5712424999999,-4.026772921467459,304.6424629214674,-23.917657829882387,,
300.6217,264.333312988,,,,304.5772525,-4.026656479769474,304.64835647976946,7.082342170117613,,
300.62772,281.333312988,,,,304.5832725,-4.026539844324903,304.65425984432494,24.082342170117613,,
300.6337,240.333312988,,,,304.58925249999993,-4.026423983866676,304.66012398386664,-16.917657829882387,,
300.63971,255.333312988,,,,304.5952625,-4.026307542168691,304.6660175421687,-1.917657829882387,,
300.64572,248.0,,,,304.60127249999994,-4.026191100470706,304.6719111004707,-9.250970817882376,,
300.6517,250.0,,,,304.60725249999996,-4.026075240012478,304.67777524001247,-7.250970817882376,,
300.65771,249.0,,,,304.6132625,-4.025958798314494,304.6836687983145,-8.250970817882376,,
300.66373,256.666656494,,,,304.61928249999994,-4.025842162869924,304.6895721628699,-0.5843143238823814,,
300.66971,255.0,,,,304.62526249999996,-4.025726302411695,304.6954363024117,-2.2509708178823757,,
300.67572,238.666656494,,,,304.6312725,-4.025609860713711,304.7013298607137,-18.58431432388238,,
300.68173,251.0,,,,304.63728249999997,-4.025493419015726,304.70722341901575,-6.250970817882376,,
300.68771,261.0,,,,304.6432625,-4.025377558557499,304.7130875585575,3.7490291821176243,,
300.69373,254.666656494,,,,304.6492825,-4.025260923112928,304.7189909231129,-2.5843143238823814,,
300.69974,251.666656494,,,,304.6552925,-4.0251444814149435,304.72488448141496,-5.584314323882381,,
300.70572,257.666656494,,,,304.6612725,-4.025028620956716,304.7307486209567,0.41568567611761864,,
300.71173,248.0,,,,304.66728249999994,-4.024912179258732,304.7366421792587,-9.250970817882376,,
300.71774,249.333312988,,,,304.6732925,-4.024795737560747,304.74253573756073,-7.917657829882387,,
300.72372,226.333312988,,,,304.6792725,-4.0246798771025185,304.74839987710254,-30.917657829882387,,
300.72974,223.333312988,,,,304.68529249999995,-4.024563241657948,304.75430324165796,-33.91765782988239,,
300.73575,252.333312988,,,,304.6913025,-4.024446799959964,304.76019679995994,-4.917657829882387,,
300.74173,265.0,,,,304.69728250000003,-4.024330939501736,304.76606093950176,7.749029182117624,,
300.74774,245.333312988,,,,304.7032925,-4.024214497803751,304.7719544978038,-11.917657829882387,,
300.75372,256.666656494,,,,304.7092725,-4.024098637345524,304.7778186373455,-0.5843143238823814,,
300.75974,250.666656494,,,,304.71529250000003,-4.023982001900953,304.78372200190097,-6.584314323882381,,
300.76575,256.0,,,,304.7213025,-4.023865560202968,304.789615560203,-1.2509708178823757,,
300.77173,244.666656494,,,,304.7272825,-4.023749699744742,304.79547969974476,-12.584314323882381,,
300.77774,248.666656494,,,,304.73329249999995,-4.023633258046757,304.80137325804674,-8.584314323882381,,
300.78375,255.0,,,,304.7393025,-4.023516816348772,304.8072668163488,-2.2509708178823757,,
300.78973,260.666656494,,,,304.74528250000003,-4.023400955890544,304.8131309558906,3.4156856761176186,,
300.79575,254.333312988,,,,304.75130249999995,-4.023284320445974,304.81903432044595,-2.917657829882387,,
300.80173,237.666656494,,,,304.7572825,-4.023168459987746,304.82489845998776,-19.58431432388238,,
300.80774,266.0,,,,304.76329250000003,-4.023052018289761,304.8307920182898,8.749029182117624,,
300.81375,257.666656494,,,,304.7693025,-4.0229355765917765,304.8366855765918,0.41568567611761864,,
300.81973,277.333312988,,,,304.7752825,-4.022819716133549,304.84254971613353,20.082342170117613,,
300.82574,259.333312988,,,,304.78129249999995,-4.022703274435565,304.84844327443557,2.082342170117613,,
300.83173,298.666656494,,,,304.78728249999995,-4.0225872202307515,304.85431722023077,41.41568567611762,,
300.83774,382.666656494,,,,304.7932925,-4.0224707785327665,304.86021077853275,125.41568567611762,,
300.84372,408.666656494,,,,304.79927250000003,-4.022354918074538,304.86607491807456,151.41568567611762,,
300.84973,334.666656494,,,,304.8052825,-4.022238476376553,304.8719684763766,77.41568567611762,,
300.85574,280.0,,,,304.81129250000004,-4.022122034678569,304.87786203467857,22.749029182117624,,
300.86172,247.666656494,,,,304.81727249999994,-4.0220061742203415,304.8837261742203,-9.584314323882381,,
300.86774,243.333312988,,,,304.8232925,-4.0218895387757705,304.8896295387758,-13.917657829882387,,
300.87372,242.0,,,,304.8292725,-4.021773678317544,304.8954936783175,-15.250970817882376,,
300.87973,247.0,,,,304.83528249999995,-4.021657236619559,304.90138723661954,-10.250970817882376,,
300.88571,239.0,,,,304.84126249999997,-4.021541376161331,304.90725137616135,-18.250970817882376,,
300.89172,254.333312988,,,,304.84727250000003,-4.021424934463346,304.9131449344634,-2.917657829882387,,
300.89771,260.333312988,,,,304.8532625,-4.021308880258533,304.91901888025853,3.082342170117613,,
300.90372,264.333312988,,,,304.8592725,-4.021192438560548,304.92491243856057,7.082342170117613,,
300.90973,268.666656494,,,,304.86528250000003,-4.021075996862563,304.9308059968626,11.415685676117619,,
300.91571,255.333312988,,,,304.87126249999994,-4.020960136404336,304.9366701364043,-1.917657829882387,,
300.92172,269.666656494,,,,304.8772725,-4.020843694706351,304.94256369470634,12.415685676117619,,
300.9277,271.0,,,,304.8832525,-4.020727834248124,304.94842783424815,13.749029182117624,,
300.93372,261.0,,,,304.88927249999995,-4.020611198803554,304.9543311988036,3.7490291821176243,,
300.9397,236.333312988,,,,304.89525249999997,-4.0204953383453255,304.96019533834533,-20.917657829882387,,
300.94571,253.333312988,,,,304.90126250000003,-4.02037889664734,304.96608889664736,-3.917657829882387,,
300.95169,256.0,,,,304.90724249999994,-4.020263036189114,304.9719530361891,-1.2509708178823757,,
300.9577,259.666656494,,,,304.9132525,-4.020146594491129,304.9778465944911,2.4156856761176186,,
300.96368,256.666656494,,,,304.9192325,-4.0200307340329005,304.9837107340329,-0.5843143238823814,,
300.9697,217.0,,,,304.92525249999994,-4.019914098588331,304.98961409858833,-40.250970817882376,,
300.97568,263.666656494,,,,304.93123249999996,-4.019798238130103,304.9954782381301,6.415685676117619,,
300.98169,244.666656494,,,,304.9372425,-4.019681796432118,305.0013717964321,-12.584314323882381,,
300.98767,251.0,,,,304.94322249999993,-4.019565935973891,305.0072359359739,-6.250970817882376,,
300.99368,248.0,,,,304.9492325,-4.019449494275906,305.0131294942759,-9.250970817882376,,
300.99966,255.666656494,,,,304.9552125,-4.019333633817678,305.0189936338177,-1.5843143238823814,,
301.00568,246.333312988,,,,304.96123249999994,-4.019216998373108,305.0248969983731,-10.917657829882387,,
301.01166,249.0,,,,304.96721249999996,-4.01910113791488,305.0307611379149,-8.250970817882376,,
301.01767,259.666656494,,,,304.9732225,-4.018984696216895,305.0366546962169,2.4156856761176186,,
301.02365,250.0,,,,304.97920249999993,-4.018868835758668,305.04251883575864,-7.250970817882376,,
301.02963,261.666656494,,,,304.98518249999995,-4.0187529753004405,305.04838297530046,4.415685676117619,,
301.03564,269.666656494,,,,304.9911925,-4.018636533602455,305.05427653360243,12.415685676117619,,
