lambda_nm,intensity,FWHM_nm,lambda_nm_ref,N,S,intensity_integrated,ln,ln_term,x
307.84590114308855,38365.41568567612,0.01748454983777492,307.843,1.0,0.563,699.3908878017974,-34.42929980981068,-34.42929980981068,2.0
307.99729008329905,40643.41568567612,0.017484549837718077,307.996,2.0,1.065,803.3876984389328,-34.92615605504649,-34.92615605504649,6.0
308.32896699253206,21662.749029182116,0.017445324824052477,308.326,4.0,2.1,425.078462600198,-36.237377028240225,-36.237377028240225,20.0
308.52079692182326,11930.749029182118,0.01744532482410932,308.512,5.0,2.64,235.71735648557143,-37.05337105928254,-37.05337105928254,30.0
308.7357598029189,5361.082342170118,0.0174159060638317,308.733,6.0,3.16,112.2938537362276,-37.97189244280948,-37.97189244280948,42.0
