tau,tk_1,tk_2,t0_1,t0_2
268.59209,18.211832,18.192441,20.551286,21.106851
270.69782,18.243984,18.233169,20.547149,21.100568
272.80315,18.280424,18.264557,20.544545,21.094592
274.90763,18.315333,18.294107,20.543778,21.090761
277.01288,18.348712,18.327333,20.543932,21.088003
279.11836,18.382856,18.368981,20.544391,21.084785
281.22374,18.416082,18.403586,20.545923,21.082027
283.32987,18.449921,18.430382,20.545617,21.080341
285.43475,18.482994,18.462078,20.545004,21.077583
287.53998,18.517293,18.49454,20.545464,21.074212
289.64417,18.552358,18.530064,20.545311,21.071607
291.75033,18.586657,18.566815,20.544698,21.069309
293.85523,18.618201,18.602799,20.543319,21.066857
295.96182,18.654185,18.635569,20.54194,21.064712
298.06729,18.68772,18.667573,20.540255,21.062567
300.1715,18.72294,18.7031,20.538569,21.061494
302.27705,18.756169,18.731736,20.536424,21.057663
304.37888,18.792614,18.766344,20.536577,21.056131
306.48351,18.825232,18.798503,20.536271,21.055058
308.58668,18.85739,18.830049,20.535658,21.052453
310.69089,18.889702,18.853173,20.536118,21.051687
312.79644,18.923852,18.894981,20.534739,21.051994
314.90071,18.95647,18.936788,20.535505,21.054139
317.00621,18.987558,18.976146,20.539795,21.058276
319.11043,19.022781,19.009839,20.547609,21.065325
321.2154,19.059076,19.042306,20.554657,21.073753
323.32018,19.095065,19.072936,20.55864,21.083559
325.42572,19.129983,19.101575,20.561705,21.090761
327.53073,19.163982,19.13879,20.56385,21.09214
329.63752,19.196603,19.174322,20.566761,21.095052
331.74205,19.22999,19.206791,20.569212,21.099649
333.8475,19.263378,19.238954,20.573655,21.10348
335.9528,19.295846,19.278928,20.575034,21.106851
338.05812,19.328469,19.30665,20.579018,21.108383
340.16186,19.363695,19.338814,20.583001,21.110528
342.26774,19.396318,19.367608,20.588517,21.114206
344.37237,19.42741,19.396403,20.593727,21.118037
346.47726,19.461565,19.436838,20.597097,21.118803
348.58243,19.496946,19.479266,20.596331,21.11865
350.68737,19.529723,19.509746,20.597863,21.11773
352.79409,19.564492,19.542678,20.596178,21.116351
354.89838,19.595585,19.580511,20.595412,21.115432
357.00548,19.632499,19.610227,20.593727,21.111448
359.11115,19.66344,19.634582,20.592348,21.109915
361.2168,19.696985,19.67211,20.592348,21.107464
363.32355,19.730224,19.717757,20.591428,21.105318
365.42711,19.763616,19.754826,20.590969,21.10348
367.53298,19.798235,19.783318,20.58913,21.101334
369.63723,19.833159,19.816712,20.588364,21.102407
371.74304,19.867932,19.848421,20.586525,21.099342
373.849,19.898415,19.878445,20.587291,21.098116
375.95491,19.931656,19.909236,20.588977,21.096278
378.05943,19.964591,19.944929,20.589437,21.097197
380.16259,19.997832,19.972349,20.591122,21.096124
382.26687,20.034904,20.002528,20.592041,21.099036
384.37199,20.069372,20.03286,20.591735,21.098883
386.47742,20.099244,20.06932,20.592041,21.099955
388.58204,20.131568,20.11436,20.591428,21.101028
390.68604,20.163432,20.158634,20.592501,21.100875
392.79192,20.195603,20.189121,20.593267,21.102867
394.8961,20.228694,20.218842,20.594186,21.10348
397.00161,20.262857,20.24795,20.595106,21.106391
399.1061,20.295336,20.283187,20.598323,21.108689
401.21111,20.331032,20.314441,20.598323,21.109609
403.31698,20.365962,20.352283,20.598936,21.110069
405.42112,20.397522,20.377563,20.599855,21.111601
407.52619,20.429389,20.416325,20.600008,21.111294
409.63072,20.462023,20.446201,20.601081,21.110835
