0.000000000000000000e+00,5.260000000000000000e+02,nan
1.000000000000000000e+00,5.260000000000000000e+02,5.720000000000000000e+02
2.000000000000000000e+00,5.240000000000000000e+02,5.720000000000000000e+02
3.000000000000000000e+00,5.200000000000000000e+02,5.700000000000000000e+02
4.000000000000000000e+00,5.210000000000000000e+02,5.680000000000000000e+02
5.000000000000000000e+00,5.190000000000000000e+02,5.690000000000000000e+02
6.000000000000000000e+00,5.180000000000000000e+02,5.660000000000000000e+02
7.000000000000000000e+00,5.130000000000000000e+02,5.650000000000000000e+02
8.000000000000000000e+00,5.120000000000000000e+02,5.660000000000000000e+02
9.000000000000000000e+00,5.100000000000000000e+02,5.630000000000000000e+02
1.000000000000000000e+01,5.110000000000000000e+02,5.610000000000000000e+02
1.100000000000000000e+01,5.100000000000000000e+02,5.600000000000000000e+02
1.200000000000000000e+01,5.050000000000000000e+02,5.590000000000000000e+02
1.300000000000000000e+01,5.030000000000000000e+02,5.600000000000000000e+02
1.400000000000000000e+01,5.040000000000000000e+02,5.530000000000000000e+02
1.500000000000000000e+01,5.000000000000000000e+02,5.570000000000000000e+02
1.600000000000000000e+01,4.940000000000000000e+02,5.530000000000000000e+02
1.700000000000000000e+01,4.950000000000000000e+02,5.540000000000000000e+02
1.800000000000000000e+01,4.900000000000000000e+02,5.500000000000000000e+02
1.900000000000000000e+01,4.910000000000000000e+02,5.490000000000000000e+02
2.000000000000000000e+01,nan,5.550000000000000000e+02
2.100000000000000000e+01,nan,5.510000000000000000e+02
2.200000000000000000e+01,nan,5.530000000000000000e+02
2.300000000000000000e+01,nan,5.490000000000000000e+02
2.400000000000000000e+01,nan,5.470000000000000000e+02
2.500000000000000000e+01,nan,5.500000000000000000e+02
2.600000000000000000e+01,nan,5.460000000000000000e+02
2.700000000000000000e+01,nan,5.470000000000000000e+02
2.800000000000000000e+01,nan,5.480000000000000000e+02
2.900000000000000000e+01,nan,5.470000000000000000e+02
3.000000000000000000e+01,nan,5.450000000000000000e+02
3.100000000000000000e+01,nan,5.440000000000000000e+02
3.200000000000000000e+01,nan,5.380000000000000000e+02
3.300000000000000000e+01,nan,5.440000000000000000e+02
3.400000000000000000e+01,nan,5.430000000000000000e+02
3.500000000000000000e+01,nan,5.420000000000000000e+02
3.600000000000000000e+01,nan,5.400000000000000000e+02
3.700000000000000000e+01,nan,5.420000000000000000e+02
3.800000000000000000e+01,nan,5.430000000000000000e+02
3.900000000000000000e+01,nan,5.410000000000000000e+02
4.000000000000000000e+01,nan,5.420000000000000000e+02
4.100000000000000000e+01,nan,5.380000000000000000e+02
4.200000000000000000e+01,nan,5.400000000000000000e+02
4.300000000000000000e+01,nan,5.400000000000000000e+02
4.400000000000000000e+01,nan,5.410000000000000000e+02
4.500000000000000000e+01,nan,5.400000000000000000e+02
4.600000000000000000e+01,nan,5.400000000000000000e+02
4.700000000000000000e+01,nan,5.430000000000000000e+02
4.800000000000000000e+01,nan,5.410000000000000000e+02
4.900000000000000000e+01,nan,5.410000000000000000e+02
5.000000000000000000e+01,nan,5.430000000000000000e+02
5.100000000000000000e+01,nan,5.430000000000000000e+02
5.200000000000000000e+01,nan,5.370000000000000000e+02
5.300000000000000000e+01,nan,5.360000000000000000e+02
5.400000000000000000e+01,nan,5.370000000000000000e+02
5.500000000000000000e+01,nan,5.420000000000000000e+02
5.600000000000000000e+01,nan,5.400000000000000000e+02
5.700000000000000000e+01,nan,5.420000000000000000e+02
5.800000000000000000e+01,nan,5.390000000000000000e+02
