v1,v2,v1+v2,v1-v2,r,q,odchylka,n,U
0.0003596586552232113,-0.00014940940683035855,0.0005090680620535699,0.00021024924839285275,9.211225645039272e-07,6.665945039048318e-19,0.16055564510767795,4.0,300
0.0003152083220046508,-3.0130207250000156e-05,0.00034533852925465095,0.00028507811475465063,1.0725860254703006e-06,5.265572849512864e-19,0.2865120722468757,3.0,300
0.00036752230821407374,-4.345702969216035e-05,0.00041097933790623404,0.0003240652785219134,1.1435797227669075e-06,6.681206431585735e-19,0.17008105710879828,4.0,300
0.00022266554259037038,-6.746186513035437e-05,0.0002901274077207248,0.000155203677460016,7.914093902527006e-07,3.2640621003220795e-19,0.03726732187637172,2.0,300
-0.000109263388928571,0.00029509392540168027,0.00040435731433025127,0.00018583053647310926,8.659817419314526e-07,4.977857903507697e-19,0.10693452761195221,3.0,300
-0.00012788783022555915,0.000373730455312499,0.000501618285538058,0.0002458426250869398,9.960446052066703e-07,7.102653091015171e-19,0.4331273720317981,4.0,300
0.00024377324272366156,-2.7315847231002143e-05,0.0002710890899546637,0.00021645739549265943,9.346228821097693e-07,3.6017777045442304e-19,0.24805282271032691,2.0,300
0.00034062033745535893,-0.00023524738737499895,0.0005758677248303578,0.00010537295008035999,6.521008476730454e-07,5.3383366691884925e-19,0.3319276763266621,3.0,300
0.0002189406543324389,-8.111978874999897e-05,0.00030006044308243787,0.0001378208655824399,7.457747614381196e-07,3.181155395076076e-19,0.014478973436285791,2.0,300
0.00022639043084821486,-0.0001270600772745786,0.00035345050812279346,9.933035357363626e-05,6.331275121996937e-07,3.18118006695659e-19,0.01446357445967461,2.0,300
0.0002284598132138763,-7.118675339285592e-05,0.00029964656660673217,0.00015727305982102035,7.966679822438712e-07,3.393556822292409e-19,0.11809157010363025,2.0,300
-0.00011795479486752468,0.00028640251946580886,0.0004043573143333335,0.00016844772459828416,8.244850205962917e-07,4.739325412307723e-19,0.0419457432258854,3.0,300
-0.0001667922187053556,0.00041602863087500505,0.0005828208495803608,0.00024923641216964944,1.00289609589739e-06,8.309205053317088e-19,0.1861978741833834,5.0,300
-4.0559894375003395e-05,0.0001981640553749971,0.00023872394975000047,0.0001576041609999937,7.975061392176199e-07,2.7064404925763036e-19,0.31077271060969447,2.0,300
0.0002781249899998171,-4.0973770848214045e-05,0.00031909876084803114,0.00023715121915160304,9.782793269226361e-07,4.437684780667377e-19,0.23021501718681492,3.0,300
0.0002392206015178576,-0.00010760788303571278,0.00034682848455357037,0.00013161271848214485,7.287844961792431e-07,3.59320784837619e-19,0.24270393920636213,2.0,300
0.00023632346620535666,-2.317708249997033e-06,0.0002386411744553537,0.00023400575795535963,9.717699542619488e-07,3.2966838542000963e-19,0.05762821916181826,2.0,300
0.0006361281393274836,-0.000263225436964283,0.0008993535762917665,0.0003729027023632006,1.2267271030225993e-06,1.5683640642147024e-18,0.21104146114577205,10.0,300
0.0003596586552232113,-0.00014940940683035855,0.0005090680620535699,0.00021024924839285275,9.211225645039272e-07,6.665945039048318e-19,0.16055564510767795,4.0,300
0.0003152083220046508,-3.0130207250000156e-05,0.00034533852925465095,0.00028507811475465063,1.0725860254703006e-06,5.265572849512864e-19,0.2865120722468757,3.0,300
0.00036752230821407374,-4.345702969216035e-05,0.00041097933790623404,0.0003240652785219134,1.1435797227669075e-06,6.681206431585735e-19,0.17008105710879828,4.0,300
0.00022266554259037038,-6.746186513035437e-05,0.0002901274077207248,0.000155203677460016,7.914093902527006e-07,3.2640621003220795e-19,0.03726732187637172,2.0,300
-0.000109263388928571,0.00029509392540168027,0.00040435731433025127,0.00018583053647310926,8.659817419314526e-07,4.977857903507697e-19,0.10693452761195221,3.0,300
-0.00012788783022555915,0.000373730455312499,0.000501618285538058,0.0002458426250869398,9.960446052066703e-07,7.102653091015171e-19,0.4331273720317981,4.0,300
0.00024377324272366156,-2.7315847231002143e-05,0.0002710890899546637,0.00021645739549265943,9.346228821097693e-07,3.6017777045442304e-19,0.24805282271032691,2.0,300
0.00034062033745535893,-0.00023524738737499895,0.0005758677248303578,0.00010537295008035999,6.521008476730454e-07,5.3383366691884925e-19,0.3319276763266621,3.0,300
0.0002189406543324389,-8.111978874999897e-05,0.00030006044308243787,0.0001378208655824399,7.457747614381196e-07,3.181155395076076e-19,0.014478973436285791,2.0,300
0.00022639043084821486,-0.0001270600772745786,0.00035345050812279346,9.933035357363626e-05,6.331275121996937e-07,3.18118006695659e-19,0.01446357445967461,2.0,300
0.0002284598132138763,-7.118675339285592e-05,0.00029964656660673217,0.00015727305982102035,7.966679822438712e-07,3.393556822292409e-19,0.11809157010363025,2.0,300
-0.00011795479486752468,0.00028640251946580886,0.0004043573143333335,0.00016844772459828416,8.244850205962917e-07,4.739325412307723e-19,0.0419457432258854,3.0,300
-0.0001667922187053556,0.00041602863087500505,0.0005828208495803608,0.00024923641216964944,1.00289609589739e-06,8.309205053317088e-19,0.1861978741833834,5.0,300
-4.0559894375003395e-05,0.0001981640553749971,0.00023872394975000047,0.0001576041609999937,7.975061392176199e-07,2.7064404925763036e-19,0.31077271060969447,2.0,300
0.0002781249899998171,-4.0973770848214045e-05,0.00031909876084803114,0.00023715121915160304,9.782793269226361e-07,4.437684780667377e-19,0.23021501718681492,3.0,300
0.0002392206015178576,-0.00010760788303571278,0.00034682848455357037,0.00013161271848214485,7.287844961792431e-07,3.59320784837619e-19,0.24270393920636213,2.0,300
0.00023632346620535666,-2.317708249997033e-06,0.0002386411744553537,0.00023400575795535963,9.717699542619488e-07,3.2966838542000963e-19,0.05762821916181826,2.0,300
