0.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,nan,nan
2.000000000000000000e+00,nan,2.280000000000000000e+02,nan,nan
3.000000000000000000e+00,nan,2.370000000000000000e+02,nan,nan
4.000000000000000000e+00,nan,2.430000000000000000e+02,nan,nan
5.000000000000000000e+00,nan,2.540000000000000000e+02,3.970000000000000000e+02,nan
6.000000000000000000e+00,nan,2.610000000000000000e+02,3.980000000000000000e+02,nan
7.000000000000000000e+00,nan,2.690000000000000000e+02,4.000000000000000000e+02,nan
8.000000000000000000e+00,nan,2.720000000000000000e+02,4.020000000000000000e+02,nan
9.000000000000000000e+00,nan,2.830000000000000000e+02,4.040000000000000000e+02,nan
1.000000000000000000e+01,nan,2.780000000000000000e+02,4.070000000000000000e+02,nan
1.100000000000000000e+01,nan,2.750000000000000000e+02,4.110000000000000000e+02,nan
1.200000000000000000e+01,nan,2.740000000000000000e+02,4.110000000000000000e+02,nan
1.300000000000000000e+01,nan,2.730000000000000000e+02,4.170000000000000000e+02,nan
1.400000000000000000e+01,nan,2.660000000000000000e+02,4.190000000000000000e+02,nan
1.500000000000000000e+01,nan,2.600000000000000000e+02,4.200000000000000000e+02,nan
1.600000000000000000e+01,nan,2.590000000000000000e+02,4.220000000000000000e+02,nan
1.700000000000000000e+01,nan,2.550000000000000000e+02,4.210000000000000000e+02,nan
1.800000000000000000e+01,nan,2.540000000000000000e+02,4.240000000000000000e+02,nan
1.900000000000000000e+01,nan,2.470000000000000000e+02,4.250000000000000000e+02,nan
2.000000000000000000e+01,nan,2.450000000000000000e+02,4.290000000000000000e+02,nan
2.100000000000000000e+01,nan,2.420000000000000000e+02,4.320000000000000000e+02,nan
2.200000000000000000e+01,nan,2.360000000000000000e+02,4.320000000000000000e+02,nan
2.300000000000000000e+01,nan,2.340000000000000000e+02,4.370000000000000000e+02,nan
2.400000000000000000e+01,nan,2.280000000000000000e+02,4.340000000000000000e+02,nan
2.500000000000000000e+01,nan,2.300000000000000000e+02,4.410000000000000000e+02,nan
2.600000000000000000e+01,nan,nan,4.390000000000000000e+02,nan
2.700000000000000000e+01,nan,nan,4.400000000000000000e+02,nan
2.800000000000000000e+01,nan,nan,4.390000000000000000e+02,nan
2.900000000000000000e+01,nan,nan,4.480000000000000000e+02,nan
3.000000000000000000e+01,nan,nan,4.490000000000000000e+02,nan
3.100000000000000000e+01,nan,nan,4.520000000000000000e+02,2.640000000000000000e+02
