
0      0,001264
1      0,039402
2      0,077515
3      0,115667
4      0,156178
5      0,194314
6      0,232430
7      0,270580
8      0,310929
9      0,349066
10      0,387183
11      0,425328
12      0,465848
13      0,503983
14      0,542102
15      0,580250
16      0,619671
17      0,657819
18      0,695929
19      0,734080
20      0,774603
21      0,812743
22      0,850857
23      0,889009
24      0,929356
25      0,967496
26      1,005609
27      1,043761
28      1,084289
29      1,122425
30      1,160543
40      1,549272
50      1,934270
60      2,322616
70      2,709340
80      3,096600
90      3,482530
100      3,871421
110      4,257356
120      4,644617
130      5,043468
140      5,431850
150      5,816875
160      6,205607
170      6,591556
180      6,979021
190      7,364969
200      7,753948
210      8,138998
220      8,527378
230      8,913876
240      9,301194
250      9,687171
255      9,880037
