0.000000000000000000e+00,3.280000000000000000e+02,4.950000000000000000e+02,4.500000000000000000e+02,2.260000000000000000e+02,2.230000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,3.280000000000000000e+02,4.920000000000000000e+02,4.470000000000000000e+02,2.230000000000000000e+02,2.190000000000000000e+02,5.220000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,3.220000000000000000e+02,4.890000000000000000e+02,4.470000000000000000e+02,2.260000000000000000e+02,2.170000000000000000e+02,5.160000000000000000e+02,3.980000000000000000e+02,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,3.190000000000000000e+02,4.900000000000000000e+02,4.450000000000000000e+02,2.260000000000000000e+02,2.110000000000000000e+02,5.090000000000000000e+02,3.990000000000000000e+02,2.720000000000000000e+02,nan,nan,nan,nan,nan
4.000000000000000000e+00,3.140000000000000000e+02,4.860000000000000000e+02,4.430000000000000000e+02,2.300000000000000000e+02,2.100000000000000000e+02,5.080000000000000000e+02,3.990000000000000000e+02,2.720000000000000000e+02,nan,nan,nan,nan,nan
5.000000000000000000e+00,3.070000000000000000e+02,4.830000000000000000e+02,4.390000000000000000e+02,2.270000000000000000e+02,2.050000000000000000e+02,5.050000000000000000e+02,3.980000000000000000e+02,2.700000000000000000e+02,nan,nan,nan,nan,nan
6.000000000000000000e+00,3.040000000000000000e+02,4.770000000000000000e+02,4.420000000000000000e+02,2.260000000000000000e+02,2.050000000000000000e+02,4.990000000000000000e+02,4.000000000000000000e+02,2.710000000000000000e+02,nan,nan,nan,nan,nan
7.000000000000000000e+00,3.020000000000000000e+02,4.760000000000000000e+02,4.400000000000000000e+02,2.280000000000000000e+02,2.050000000000000000e+02,4.930000000000000000e+02,3.970000000000000000e+02,2.740000000000000000e+02,nan,nan,nan,nan,nan
8.000000000000000000e+00,2.990000000000000000e+02,4.740000000000000000e+02,4.370000000000000000e+02,2.260000000000000000e+02,1.950000000000000000e+02,4.880000000000000000e+02,3.980000000000000000e+02,2.750000000000000000e+02,nan,nan,nan,nan,nan
9.000000000000000000e+00,2.970000000000000000e+02,4.710000000000000000e+02,4.420000000000000000e+02,2.250000000000000000e+02,1.950000000000000000e+02,4.850000000000000000e+02,3.980000000000000000e+02,2.740000000000000000e+02,nan,nan,nan,nan,nan
1.000000000000000000e+01,2.970000000000000000e+02,4.740000000000000000e+02,4.410000000000000000e+02,2.230000000000000000e+02,1.920000000000000000e+02,4.850000000000000000e+02,3.970000000000000000e+02,2.750000000000000000e+02,3.300000000000000000e+02,nan,nan,nan,nan
1.100000000000000000e+01,2.750000000000000000e+02,4.670000000000000000e+02,4.380000000000000000e+02,2.260000000000000000e+02,1.890000000000000000e+02,4.810000000000000000e+02,4.000000000000000000e+02,2.770000000000000000e+02,3.320000000000000000e+02,nan,nan,nan,nan
1.200000000000000000e+01,2.870000000000000000e+02,4.650000000000000000e+02,4.370000000000000000e+02,2.280000000000000000e+02,1.880000000000000000e+02,4.770000000000000000e+02,3.970000000000000000e+02,2.750000000000000000e+02,3.330000000000000000e+02,nan,nan,nan,nan
1.300000000000000000e+01,2.630000000000000000e+02,4.620000000000000000e+02,4.360000000000000000e+02,2.330000000000000000e+02,1.800000000000000000e+02,4.740000000000000000e+02,4.010000000000000000e+02,2.780000000000000000e+02,3.330000000000000000e+02,nan,nan,nan,nan
