0.000000000000000000e+00,nan,nan,3.600000000000000000e+02,nan,3.200000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,3.660000000000000000e+02,nan,3.210000000000000000e+02,3.480000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,nan,nan,3.680000000000000000e+02,nan,3.230000000000000000e+02,3.360000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,nan,nan,3.700000000000000000e+02,nan,3.260000000000000000e+02,3.410000000000000000e+02,3.600000000000000000e+02,5.450000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,nan,nan,3.700000000000000000e+02,nan,3.270000000000000000e+02,3.470000000000000000e+02,nan,5.500000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,nan,nan,3.700000000000000000e+02,nan,3.270000000000000000e+02,3.530000000000000000e+02,nan,5.560000000000000000e+02,3.750000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,nan,nan,3.770000000000000000e+02,nan,3.320000000000000000e+02,3.560000000000000000e+02,nan,5.590000000000000000e+02,nan,3.820000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,nan,nan,3.750000000000000000e+02,nan,3.320000000000000000e+02,3.600000000000000000e+02,nan,nan,nan,nan,3.850000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,nan,nan,3.790000000000000000e+02,nan,3.330000000000000000e+02,3.700000000000000000e+02,nan,nan,nan,nan,nan,3.930000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,nan,nan,3.820000000000000000e+02,nan,3.350000000000000000e+02,3.730000000000000000e+02,nan,nan,nan,nan,nan,nan,4.000000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
