0.000000000000000000e+00,nan,nan,3.870000000000000000e+02,4.680000000000000000e+02,nan,nan,5.360000000000000000e+02,5.420000000000000000e+02,nan,3.190000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,3.920000000000000000e+02,4.740000000000000000e+02,nan,nan,5.470000000000000000e+02,5.480000000000000000e+02,nan,nan,1.410000000000000000e+02,3.210000000000000000e+02,4.260000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,nan,nan,4.070000000000000000e+02,4.800000000000000000e+02,nan,nan,5.530000000000000000e+02,nan,nan,nan,1.440000000000000000e+02,nan,4.300000000000000000e+02,1.890000000000000000e+02,3.230000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,nan,nan,4.110000000000000000e+02,4.910000000000000000e+02,nan,nan,5.550000000000000000e+02,nan,nan,nan,1.450000000000000000e+02,nan,4.350000000000000000e+02,1.930000000000000000e+02,nan,2.050000000000000000e+02,3.240000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,nan,nan,4.200000000000000000e+02,4.950000000000000000e+02,nan,nan,nan,nan,nan,nan,1.480000000000000000e+02,nan,4.370000000000000000e+02,1.940000000000000000e+02,nan,2.100000000000000000e+02,nan,3.270000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,nan,nan,4.280000000000000000e+02,5.050000000000000000e+02,nan,nan,nan,nan,nan,nan,1.480000000000000000e+02,nan,4.380000000000000000e+02,1.960000000000000000e+02,nan,2.070000000000000000e+02,nan,nan,3.280000000000000000e+02,4.390000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,nan,nan,4.310000000000000000e+02,5.080000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,4.380000000000000000e+02,1.970000000000000000e+02,nan,2.110000000000000000e+02,nan,nan,nan,4.390000000000000000e+02,3.310000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,nan,nan,4.400000000000000000e+02,5.190000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,4.430000000000000000e+02,2.020000000000000000e+02,nan,2.150000000000000000e+02,nan,nan,nan,4.250000000000000000e+02,nan,3.340000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,nan,nan,4.460000000000000000e+02,5.230000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,4.470000000000000000e+02,2.040000000000000000e+02,nan,2.180000000000000000e+02,nan,nan,nan,4.250000000000000000e+02,nan,nan,3.360000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,nan,nan,4.560000000000000000e+02,5.320000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,4.470000000000000000e+02,2.110000000000000000e+02,nan,2.160000000000000000e+02,nan,nan,nan,4.150000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
