RMSDelta_Point_62_x/Delta_Point_62_y,0.3138931724323297
ratio10/5Delta_Point_62_x/Delta_Point_62_y,2+/-4
FNM300Delta_Point_63_x/Delta_Point_63_y,(1.2+/-0.7)e+03
Sum300_Delta_Point_64_x/Delta_Point_64_y,
NewColumnDelta_Point_64_x/Delta_Point_64_y,2+/-4
FNM450Delta_Point_65_x/Delta_Point_65_y,(5+/-7)e+02
Sum450_Delta_Point_66_x/Delta_Point_66_y,
Sum150_Delta_Point_67_x/Delta_Point_67_y,
ratio15/10Delta_Point_67_x/Delta_Point_67_y,3+/-4
FNM450Delta_Point_68_x/Delta_Point_68_y,(1.5+/-1.9)e+03
FNM150Delta_Point_69_x/Delta_Point_69_y,(6+/-8)e+02
Sum150_Delta_Point_70_x/Delta_Point_70_y,
ratio15/10Delta_Point_70_x/Delta_Point_70_y,3+/-4
FNM450Delta_Point_71_x/Delta_Point_71_y,(1.2+/-1.4)e+03
Sum450_Delta_Point_72_x/Delta_Point_72_y,
RMSDelta_Point_73_x/Delta_Point_73_y,
ratio10/5Delta_Point_73_x/Delta_Point_73_y,1.9+/-2.7
FNM300Delta_Point_74_x/Delta_Point_74_y,(1.1+/-0.7)e+03
Sum450_Delta_Point_75_x/Delta_Point_75_y,
Sum150_Delta_Point_76_x/Delta_Point_76_y,
ratio15/10Delta_Point_76_x/Delta_Point_76_y,3+/-8
FNM300Delta_Point_77_x/Delta_Point_77_y,(7+/-8)e+02
Sum300_Delta_Point_78_x/Delta_Point_78_y,
RMSDelta_Point_79_x/Delta_Point_79_y,
ratio10/5Delta_Point_79_x/Delta_Point_79_y,2.1+/-2.0
FNM300Delta_Point_80_x/Delta_Point_80_y,(1.1+/-0.4)e+03
Sum450_Delta_Point_81_x/Delta_Point_81_y,
Sum150_Delta_Point_82_x/Delta_Point_82_y,
ratio15/10Delta_Point_82_x/Delta_Point_82_y,3.0+/-1.0
FNM300Delta_Point_83_x/Delta_Point_83_y,(2.5+/-2.0)e+02
Sum300_Delta_Point_84_x/Delta_Point_84_y,
NewColumnDelta_Point_84_x/Delta_Point_84_y,2+/-6
FNM450Delta_Point_85_x/Delta_Point_85_y,(0.8+/-1.1)e+03
Sum450_Delta_Point_86_x/Delta_Point_86_y,
RMSDelta_Point_87_x/Delta_Point_87_y,
ratio10/5Delta_Point_87_x/Delta_Point_87_y,2.0+/-3.2
FNM150Delta_Point_88_x/Delta_Point_88_y,(3+/-4)e+02
Sum150_Delta_Point_89_x/Delta_Point_89_y,
ratio15/10Delta_Point_89_x/Delta_Point_89_y,3+/-4
FNM300Delta_Point_90_x/Delta_Point_90_y,(1.0+/-1.3)e+03
Sum300_Delta_Point_91_x/Delta_Point_91_y,
NewColumnDelta_Point_91_x/Delta_Point_91_y,2.0+/-2.9
FNM450Delta_Point_92_x/Delta_Point_92_y,(1.5+/-1.3)e+03
Sum450_Delta_Point_93_x/Delta_Point_93_y,
RMSDelta_Point_94_x/Delta_Point_94_y,
ratio10/5Delta_Point_94_x/Delta_Point_94_y,2.0+/-3.4
FNM150Delta_Point_95_x/Delta_Point_95_y,(0.8+/-1.0)e+03
Sum150_Delta_Point_96_x/Delta_Point_96_y,
ratio15/10Delta_Point_96_x/Delta_Point_96_y,3+/-4
FNM300Delta_Point_97_x/Delta_Point_97_y,(1.5+/-1.8)e+03
Sum450_Delta_Point_98_x/Delta_Point_98_y,
RMSDelta_Point_99_x/Delta_Point_99_y,
ratio10/5Delta_Point_99_x/Delta_Point_99_y,2.0+/-3.5
FNM150Delta_Point_100_x/Delta_Point_100_y,(8+/-8)e+02
Sum150_Delta_Point_101_x/Delta_Point_101_y,
ratio15/10Delta_Point_101_x/Delta_Point_101_y,3+/-5
FNM450Delta_Point_102_x/Delta_Point_102_y,(2.0+/-1.3)e+03
Sum450_Delta_Point_103_x/Delta_Point_103_y,
RMSDelta_Point_104_x/Delta_Point_104_y,
ratio10/5Delta_Point_104_x/Delta_Point_104_y,2.0+/-3.0
FNM300Delta_Point_105_x/Delta_Point_105_y,(1.2+/-1.4)e+03
Sum450_Delta_Point_106_x/Delta_Point_106_y,
RMSDelta_Point_107_x/Delta_Point_107_y,
ratio10/5Delta_Point_107_x/Delta_Point_107_y,2.0+/-2.9
FNM150Delta_Point_108_x/Delta_Point_108_y,(5+/-5)e+02
Sum300_Delta_Point_109_x/Delta_Point_109_y,
RMSDelta_Point_110_x/Delta_Point_110_y,
ratio10/5Delta_Point_110_x/Delta_Point_110_y,1.9+/-2.2
FNM300Delta_Point_111_x/Delta_Point_111_y,(1.4+/-0.8)e+03
Sum300_Delta_Point_112_x/Delta_Point_112_y,
RMSDelta_Point_113_x/Delta_Point_113_y,
ratio10/5Delta_Point_113_x/Delta_Point_113_y,2.0+/-2.0
FNM150Delta_Point_114_x/Delta_Point_114_y,(9+/-7)e+02
Sum300_Delta_Point_115_x/Delta_Point_115_y,
RMSDelta_Point_116_x/Delta_Point_116_y,
ratio10/5Delta_Point_116_x/Delta_Point_116_y,2.1+/-2.7
FNM300Delta_Point_117_x/Delta_Point_117_y,(2.3+/-0.8)e+03
Sum450_Delta_Point_118_x/Delta_Point_118_y,
Sum150_Delta_Point_119_x/Delta_Point_119_y,
ratio15/10Delta_Point_119_x/Delta_Point_119_y,2.3+/-3.4
