0.000000000000000000e+00,1.290000000000000000e+02,3.400000000000000000e+02,4.800000000000000000e+02,5.220000000000000000e+02,nan,nan,nan,nan,nan
1.000000000000000000e+00,1.380000000000000000e+02,3.400000000000000000e+02,4.840000000000000000e+02,5.360000000000000000e+02,nan,nan,nan,nan,nan
2.000000000000000000e+00,1.460000000000000000e+02,3.400000000000000000e+02,4.960000000000000000e+02,5.460000000000000000e+02,1.350000000000000000e+02,nan,nan,nan,nan
3.000000000000000000e+00,1.450000000000000000e+02,3.440000000000000000e+02,4.930000000000000000e+02,5.480000000000000000e+02,1.400000000000000000e+02,nan,nan,nan,nan
4.000000000000000000e+00,1.430000000000000000e+02,3.450000000000000000e+02,4.900000000000000000e+02,5.410000000000000000e+02,1.400000000000000000e+02,nan,nan,nan,nan
5.000000000000000000e+00,1.360000000000000000e+02,3.460000000000000000e+02,4.890000000000000000e+02,5.370000000000000000e+02,1.420000000000000000e+02,nan,nan,nan,nan
6.000000000000000000e+00,1.310000000000000000e+02,3.470000000000000000e+02,4.880000000000000000e+02,5.350000000000000000e+02,1.410000000000000000e+02,nan,nan,nan,nan
7.000000000000000000e+00,1.300000000000000000e+02,3.470000000000000000e+02,4.860000000000000000e+02,5.330000000000000000e+02,1.430000000000000000e+02,nan,nan,nan,nan
8.000000000000000000e+00,1.280000000000000000e+02,3.510000000000000000e+02,4.830000000000000000e+02,5.280000000000000000e+02,1.460000000000000000e+02,nan,nan,nan,nan
9.000000000000000000e+00,1.240000000000000000e+02,3.510000000000000000e+02,4.800000000000000000e+02,5.210000000000000000e+02,1.490000000000000000e+02,nan,nan,nan,nan
1.000000000000000000e+01,1.210000000000000000e+02,3.530000000000000000e+02,4.770000000000000000e+02,5.170000000000000000e+02,1.510000000000000000e+02,nan,nan,nan,nan
1.100000000000000000e+01,1.120000000000000000e+02,3.590000000000000000e+02,4.750000000000000000e+02,5.120000000000000000e+02,1.500000000000000000e+02,3.530000000000000000e+02,nan,nan,nan
