0.000000000000000000e+00,4.530000000000000000e+02,3.620000000000000000e+02,4.890000000000000000e+02,4.170000000000000000e+02,nan,nan,nan,nan
1.000000000000000000e+00,4.540000000000000000e+02,3.580000000000000000e+02,4.840000000000000000e+02,4.110000000000000000e+02,nan,nan,nan,nan
2.000000000000000000e+00,4.430000000000000000e+02,3.550000000000000000e+02,4.810000000000000000e+02,4.140000000000000000e+02,nan,nan,nan,nan
3.000000000000000000e+00,4.420000000000000000e+02,3.510000000000000000e+02,4.780000000000000000e+02,4.100000000000000000e+02,nan,nan,nan,nan
4.000000000000000000e+00,4.350000000000000000e+02,3.440000000000000000e+02,4.730000000000000000e+02,4.050000000000000000e+02,nan,nan,nan,nan
5.000000000000000000e+00,4.330000000000000000e+02,3.440000000000000000e+02,4.710000000000000000e+02,4.020000000000000000e+02,nan,nan,nan,nan
6.000000000000000000e+00,4.390000000000000000e+02,3.410000000000000000e+02,4.680000000000000000e+02,4.010000000000000000e+02,nan,nan,nan,nan
7.000000000000000000e+00,4.290000000000000000e+02,3.390000000000000000e+02,4.620000000000000000e+02,4.000000000000000000e+02,nan,nan,nan,nan
8.000000000000000000e+00,4.260000000000000000e+02,3.340000000000000000e+02,4.620000000000000000e+02,3.990000000000000000e+02,nan,nan,nan,nan
9.000000000000000000e+00,4.180000000000000000e+02,3.340000000000000000e+02,4.580000000000000000e+02,3.950000000000000000e+02,nan,nan,nan,nan
1.000000000000000000e+01,4.140000000000000000e+02,3.300000000000000000e+02,4.510000000000000000e+02,3.910000000000000000e+02,nan,nan,nan,nan
1.100000000000000000e+01,4.160000000000000000e+02,3.260000000000000000e+02,4.540000000000000000e+02,3.950000000000000000e+02,nan,nan,nan,nan
1.200000000000000000e+01,4.130000000000000000e+02,3.240000000000000000e+02,4.470000000000000000e+02,3.900000000000000000e+02,nan,nan,nan,nan
1.300000000000000000e+01,4.100000000000000000e+02,3.200000000000000000e+02,4.480000000000000000e+02,3.880000000000000000e+02,nan,nan,nan,nan
1.400000000000000000e+01,4.080000000000000000e+02,3.160000000000000000e+02,4.460000000000000000e+02,3.870000000000000000e+02,nan,nan,nan,nan
1.500000000000000000e+01,4.020000000000000000e+02,3.140000000000000000e+02,nan,3.830000000000000000e+02,nan,nan,nan,nan
1.600000000000000000e+01,4.000000000000000000e+02,3.120000000000000000e+02,nan,3.830000000000000000e+02,nan,nan,nan,nan
1.700000000000000000e+01,3.970000000000000000e+02,3.100000000000000000e+02,nan,3.800000000000000000e+02,nan,nan,nan,nan
