0.000000000000000000e+00,3.200000000000000000e+02,3.350000000000000000e+02,3.570000000000000000e+02,3.680000000000000000e+02,4.350000000000000000e+02,5.120000000000000000e+02,5.390000000000000000e+02,2.690000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,3.140000000000000000e+02,3.380000000000000000e+02,3.630000000000000000e+02,3.750000000000000000e+02,4.420000000000000000e+02,5.110000000000000000e+02,5.450000000000000000e+02,2.690000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,3.240000000000000000e+02,3.410000000000000000e+02,3.670000000000000000e+02,3.850000000000000000e+02,4.430000000000000000e+02,5.160000000000000000e+02,5.520000000000000000e+02,2.710000000000000000e+02,4.630000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,3.200000000000000000e+02,3.470000000000000000e+02,3.740000000000000000e+02,3.930000000000000000e+02,4.500000000000000000e+02,5.220000000000000000e+02,nan,2.740000000000000000e+02,4.650000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,3.270000000000000000e+02,3.550000000000000000e+02,3.800000000000000000e+02,3.980000000000000000e+02,4.600000000000000000e+02,5.270000000000000000e+02,nan,2.760000000000000000e+02,4.670000000000000000e+02,5.420000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,3.330000000000000000e+02,3.550000000000000000e+02,3.880000000000000000e+02,4.100000000000000000e+02,4.620000000000000000e+02,5.290000000000000000e+02,nan,2.740000000000000000e+02,4.690000000000000000e+02,5.430000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,3.320000000000000000e+02,3.700000000000000000e+02,3.950000000000000000e+02,4.150000000000000000e+02,4.780000000000000000e+02,5.240000000000000000e+02,nan,2.810000000000000000e+02,4.730000000000000000e+02,5.450000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,3.350000000000000000e+02,3.720000000000000000e+02,4.000000000000000000e+02,4.250000000000000000e+02,4.810000000000000000e+02,nan,nan,2.820000000000000000e+02,4.770000000000000000e+02,5.490000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,3.380000000000000000e+02,3.810000000000000000e+02,4.100000000000000000e+02,4.300000000000000000e+02,4.870000000000000000e+02,nan,nan,2.860000000000000000e+02,4.740000000000000000e+02,5.500000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,3.390000000000000000e+02,3.820000000000000000e+02,4.140000000000000000e+02,4.440000000000000000e+02,4.970000000000000000e+02,nan,nan,2.900000000000000000e+02,4.770000000000000000e+02,5.510000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
