0.000000000000000000e+00,4.860000000000000000e+02,4.700000000000000000e+02,2.630000000000000000e+02,4.640000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,4.870000000000000000e+02,4.680000000000000000e+02,2.620000000000000000e+02,4.640000000000000000e+02,4.740000000000000000e+02,3.490000000000000000e+02,4.240000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,4.860000000000000000e+02,4.710000000000000000e+02,2.620000000000000000e+02,4.640000000000000000e+02,4.730000000000000000e+02,3.540000000000000000e+02,4.260000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,4.860000000000000000e+02,4.690000000000000000e+02,2.580000000000000000e+02,4.670000000000000000e+02,4.700000000000000000e+02,3.450000000000000000e+02,4.220000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,4.840000000000000000e+02,4.690000000000000000e+02,2.630000000000000000e+02,4.670000000000000000e+02,4.710000000000000000e+02,3.470000000000000000e+02,4.270000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,4.830000000000000000e+02,nan,2.610000000000000000e+02,nan,4.620000000000000000e+02,3.450000000000000000e+02,4.190000000000000000e+02,4.700000000000000000e+02,3.580000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,4.800000000000000000e+02,nan,2.620000000000000000e+02,nan,4.630000000000000000e+02,3.430000000000000000e+02,4.190000000000000000e+02,nan,3.610000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,4.840000000000000000e+02,nan,2.620000000000000000e+02,nan,4.620000000000000000e+02,3.370000000000000000e+02,4.210000000000000000e+02,nan,3.590000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,4.790000000000000000e+02,nan,2.630000000000000000e+02,nan,4.570000000000000000e+02,3.380000000000000000e+02,4.180000000000000000e+02,nan,3.590000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,4.840000000000000000e+02,nan,2.630000000000000000e+02,nan,4.540000000000000000e+02,3.390000000000000000e+02,4.240000000000000000e+02,nan,3.620000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
