   0     0,0000        1     1,0101
   2     1,9223        3     2,9324
   4     3,8442        5     4,8549
   6     5,7662        7     6,7771
   8     7,6884        9     8,6991
  10     9,6108       11    10,6214
  12    11,5327       13    12,5438
  14    13,4548       15    14,4658
  16    15,3771       17    16,3880
  18    17,2990       19    18,3105
  20    19,2207       21    20,2321
  22    21,1428       23    22,1542
  24    23,0643       25    24,0765
  26    24,9867       27    25,9987
  28    26,9088       29    27,9211
  30    28,8312       31    29,8433
  32    30,7531       33    31,7652
  34    32,6752       35    33,6878
  36    34,5970       37    35,6095
  38    36,5193       39    37,5319
  40    38,4412       41    39,4541
  42    40,3634       43    41,3766
  44    42,2857       45    43,2985
  46    44,2075       47    45,2211
  48    46,1296       49    47,1432
  50    48,0522       51    49,0652
  52    49,9742       53    50,9874
  54    51,8957       55    52,9096
  56    53,8181       57    54,8317
  58    55,7402       59    56,7538
  60    57,6621       61    58,6759
  62    59,5842       63    60,5979
  64    61,5059       65    62,5202
  66    63,4283       67    64,4419
  68    65,3499       69    66,3645
  70    67,2720       71    68,2862
  72    69,1944       73    70,2087
  74    71,1165       75    72,1308
  76    73,0381       77    74,0529
  78    74,9604       79    75,9750
  80    76,8822       81    77,8972
  82    78,8044       83    79,8192
  84    80,7261       85    81,7413
  86    82,6479       87    83,6635
  88    84,5703       89    85,5855
  90    86,4924       91    87,5074
  92    88,4145       93    89,4298
  94    90,3364       95    91,3519
  96    92,2584       97    93,2740
  98    94,1805       99    95,1960
 100    96,1026      101    97,1182
 102    98,0240      103    99,0403
 104    99,9462      105   100,9624
 106   101,8684      107   102,8844
 108   103,7899      109   104,8061
 110   105,7119      111   106,7281
 112   107,6340      113   108,6501
 114   109,5558      115   110,5724
 116   111,4781      117   112,4947
 118   113,4001      119   114,4168
 120   115,3221      121   116,3384
 122   117,2436      123   118,2609
 124   119,1659      125   120,1829
 126   121,0876      127   122,1046
 128   123,0098      129   124,0270
 130   124,9313      131   125,9491
 132   126,8536      133   127,8711
 134   128,7755      135   129,7931
 136   130,6976      137   131,7148
 138   132,6192      139   133,6369
 140   134,5414      141   135,5590
 142   136,4631      143   137,4810
 144   138,3853      145   139,4030
 146   140,3071      147   141,3253
 148   142,2292      149   143,2470
 150   144,1507      151   145,1693
 152   146,0729      153   147,0913
 154   147,9948      155   149,0131
 156   149,9164      157   150,9352
 158   151,8382      159   152,8571
 160   153,7604      161   154,7790
 162   155,6822      163   156,7010
 164   157,6042      165   158,6232
 166   159,5260      167   160,5453
 168   161,4480      169   162,4671
 170   163,3694      171   164,3889
 172   165,2914      173   166,3112
 174   167,2133      175   168,2331
 176   169,1351      177   170,1547
 178   171,0574      179   172,0772
 180   172,9792      181   173,9988
 182   174,9011      183   175,9212
 184   176,8230      185   177,8431
 186   178,7448      187   179,7649
 188   180,6666      189   181,6871
 190   182,5886      191   183,6086
 192   184,5101      193   185,5306
 194   186,4321      195   187,4534
 196   188,3539      197   189,3750
 198   190,2757      199   191,2966
 200   192,1979      201   193,2186
 202   194,1194      203   195,1408
 204   196,0415      205   197,0628
 206   197,9630      207   198,9847
 208   199,8851      209   200,9066
 210   201,8068      211   202,8283
 212   203,7284      213   204,7504
 214   205,6502      215   206,6724
 216   207,5721      217   208,5943
 218   209,4939      219   210,5160
 220   211,4153      221   212,4377
 222   213,3374      223   214,3599
 224   215,2591      225   216,2816
 226   217,1806      227   218,2038
 228   219,1024      229   220,1257
 230   221,0246      231   222,0472
 232   222,9463      233   223,9693
 234   224,8678      235   225,8912
 236   226,7896      237   227,8126
 238   228,7116      239   229,7349
 240   230,6331      241   231,6568
 242   232,5551      243   233,5786
 244   234,4766      245   235,5001
 246   236,3984      247   237,4219
 248   238,3204      249   239,3442
 250   240,2421      251   241,2657
 252   242,1635      253   243,1879
 254   244,0855      255   245,1096
 256   246,0070      257   247,0315
 258   247,9287      259   248,9533
 260   249,8508      261   250,8751
 262   251,7726      263   252,7969
 264   253,6944      265   254,7188
 266   255,6161      267   256,6406
 268   257,5380      269   258,5624
 270   259,4597      271   260,4843
 272   261,3815      273   262,4062
 274   263,3028      275   264,3280
 276   265,2248      277   266,2497
 278   267,1464      279   268,1716
 280   269,0679      281   270,0938
 282   270,9900      283   272,0153
 284   272,9118      285   273,9375
 286   274,8331      287   275,8592
 288   276,7552      289   277,7809
 290   278,6769      291   279,7028
 292   280,5986      293   281,6247
 294   282,5202      295   283,5464
 296   284,4421      297   285,4683
 298   286,3638      299   287,3902
 300   288,2855      301   289,3120
 302   290,2072      303   291,2338
 304   292,1288      305   293,1558
 306   294,0505      307   295,0775
 308   295,9723      309   296,9993
 310   297,8940      311   298,9211
 312   299,8157      313   300,8425
 314   301,7375      315   302,7644
 316   303,6591      317   304,6865
 318   305,5808      319   306,6083
 320   307,5024      321   308,5302
 322   309,4242      323   310,4519
 324   311,3456      325   312,3735
 326   313,2675      327   314,2956
 328   315,1892      329   316,2175
 330   317,1109      331   318,1392
 332   319,0327      333   320,0608
 334   320,9543      335   321,9830
 336   322,8756      337   323,9047
 338   324,7977      339   325,8265
 340   326,7194      341   327,7483
 342   328,6411      343   329,6702
 344   330,5626      345   331,5919
 346   332,4843      347   333,5137
 348   334,4060      349   335,4354
 350   336,3277      351   337,3569
 352   338,2494      353   339,2790
 354   340,1708      355   341,2007
 356   342,0926      357   343,1224
 358   344,0143      359   345,0439
 360   345,9360      361   346,9657
 362   347,8577      363   348,8878
 364   349,7790      365   350,8095
 366   351,7010      367   352,7310
 368   353,6225      369   354,6531
 370   355,5442      371   356,5749
 372   357,4658      373   358,4966
 374   359,3873      375   360,4180
 376   361,3095      377   362,3396
 378   363,2311      379   364,2618
 380   365,1527      381   366,1835
 382   367,0742      383   368,1054
 384   368,9955      385   370,0266
 386   370,9169      387   371,9489
 388   372,8389      389   373,8703
 390   374,7606
