0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,nan,4.890000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,nan,4.970000000000000000e+02,3.900000000000000000e+02,1.520000000000000000e+02,2.800000000000000000e+02,nan,nan,nan,nan,nan
8.000000000000000000e+00,nan,4.890000000000000000e+02,3.790000000000000000e+02,1.460000000000000000e+02,2.760000000000000000e+02,4.400000000000000000e+02,nan,nan,nan,nan
9.000000000000000000e+00,nan,4.860000000000000000e+02,3.750000000000000000e+02,1.430000000000000000e+02,2.680000000000000000e+02,4.360000000000000000e+02,nan,nan,nan,nan
1.000000000000000000e+01,nan,4.830000000000000000e+02,3.670000000000000000e+02,1.390000000000000000e+02,2.680000000000000000e+02,4.270000000000000000e+02,nan,nan,nan,nan
1.100000000000000000e+01,nan,4.820000000000000000e+02,3.580000000000000000e+02,1.340000000000000000e+02,2.580000000000000000e+02,4.160000000000000000e+02,nan,nan,nan,nan
1.200000000000000000e+01,nan,nan,3.540000000000000000e+02,1.240000000000000000e+02,2.520000000000000000e+02,4.060000000000000000e+02,nan,nan,nan,nan
1.300000000000000000e+01,nan,nan,3.460000000000000000e+02,1.150000000000000000e+02,2.430000000000000000e+02,4.010000000000000000e+02,nan,nan,nan,nan
1.400000000000000000e+01,nan,nan,3.390000000000000000e+02,1.140000000000000000e+02,2.370000000000000000e+02,3.920000000000000000e+02,nan,nan,nan,nan
1.500000000000000000e+01,nan,nan,3.340000000000000000e+02,1.060000000000000000e+02,2.310000000000000000e+02,3.840000000000000000e+02,nan,nan,nan,nan
1.600000000000000000e+01,nan,nan,3.230000000000000000e+02,nan,2.240000000000000000e+02,3.770000000000000000e+02,nan,nan,nan,nan
1.700000000000000000e+01,nan,nan,3.120000000000000000e+02,nan,2.190000000000000000e+02,3.660000000000000000e+02,nan,nan,nan,nan
1.800000000000000000e+01,nan,nan,3.070000000000000000e+02,nan,2.110000000000000000e+02,3.580000000000000000e+02,nan,nan,nan,nan
1.900000000000000000e+01,nan,nan,2.970000000000000000e+02,nan,2.030000000000000000e+02,3.500000000000000000e+02,nan,nan,nan,nan
