0.000000000000000000e+00,4.810000000000000000e+02,1.620000000000000000e+02,2.650000000000000000e+02,4.130000000000000000e+02,2.350000000000000000e+02,1.090000000000000000e+02,nan,nan,4.820000000000000000e+02,2.280000000000000000e+02,4.540000000000000000e+02,5.190000000000000000e+02,4.330000000000000000e+02,3.950000000000000000e+02,5.350000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,4.780000000000000000e+02,1.620000000000000000e+02,2.540000000000000000e+02,4.090000000000000000e+02,2.370000000000000000e+02,1.100000000000000000e+02,nan,nan,4.830000000000000000e+02,2.320000000000000000e+02,4.550000000000000000e+02,5.190000000000000000e+02,4.340000000000000000e+02,4.040000000000000000e+02,nan,5.170000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,4.720000000000000000e+02,1.600000000000000000e+02,2.590000000000000000e+02,4.080000000000000000e+02,2.340000000000000000e+02,1.060000000000000000e+02,nan,nan,4.820000000000000000e+02,2.290000000000000000e+02,4.510000000000000000e+02,5.230000000000000000e+02,4.380000000000000000e+02,4.010000000000000000e+02,nan,5.130000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,4.670000000000000000e+02,1.580000000000000000e+02,2.590000000000000000e+02,4.110000000000000000e+02,2.310000000000000000e+02,1.040000000000000000e+02,nan,nan,4.850000000000000000e+02,2.290000000000000000e+02,nan,5.230000000000000000e+02,nan,4.030000000000000000e+02,nan,5.050000000000000000e+02,4.570000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,4.620000000000000000e+02,1.440000000000000000e+02,2.540000000000000000e+02,4.030000000000000000e+02,2.320000000000000000e+02,1.060000000000000000e+02,nan,nan,4.820000000000000000e+02,2.320000000000000000e+02,nan,nan,nan,4.090000000000000000e+02,nan,5.020000000000000000e+02,nan,4.560000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,4.610000000000000000e+02,1.530000000000000000e+02,2.540000000000000000e+02,4.010000000000000000e+02,2.290000000000000000e+02,1.060000000000000000e+02,nan,nan,4.830000000000000000e+02,2.300000000000000000e+02,nan,nan,nan,4.080000000000000000e+02,nan,4.990000000000000000e+02,nan,nan,5.320000000000000000e+02,4.620000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,4.570000000000000000e+02,1.470000000000000000e+02,2.490000000000000000e+02,4.030000000000000000e+02,2.280000000000000000e+02,1.060000000000000000e+02,nan,nan,4.810000000000000000e+02,2.290000000000000000e+02,nan,nan,nan,4.080000000000000000e+02,nan,4.940000000000000000e+02,nan,nan,5.140000000000000000e+02,nan,4.580000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,4.510000000000000000e+02,1.450000000000000000e+02,2.520000000000000000e+02,3.940000000000000000e+02,2.290000000000000000e+02,1.060000000000000000e+02,nan,nan,4.840000000000000000e+02,2.280000000000000000e+02,nan,nan,nan,4.100000000000000000e+02,nan,4.890000000000000000e+02,nan,nan,5.190000000000000000e+02,nan,nan,4.580000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,4.470000000000000000e+02,1.460000000000000000e+02,2.470000000000000000e+02,3.980000000000000000e+02,2.260000000000000000e+02,1.010000000000000000e+02,nan,nan,4.840000000000000000e+02,2.340000000000000000e+02,nan,nan,nan,4.150000000000000000e+02,nan,4.850000000000000000e+02,nan,nan,5.180000000000000000e+02,nan,nan,4.580000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,4.440000000000000000e+02,1.350000000000000000e+02,2.450000000000000000e+02,3.920000000000000000e+02,2.260000000000000000e+02,1.050000000000000000e+02,nan,nan,4.840000000000000000e+02,2.320000000000000000e+02,nan,nan,nan,4.130000000000000000e+02,nan,4.810000000000000000e+02,nan,nan,5.190000000000000000e+02,nan,nan,nan,5.660000000000000000e+02,5.310000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
