0.000000000000000000e+00,2.940000000000000000e+02,3.610000000000000000e+02,3.920000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,2.940000000000000000e+02,3.540000000000000000e+02,3.890000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,2.940000000000000000e+02,3.510000000000000000e+02,3.820000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,2.920000000000000000e+02,3.460000000000000000e+02,3.800000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,2.900000000000000000e+02,3.390000000000000000e+02,3.800000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,2.930000000000000000e+02,3.310000000000000000e+02,3.760000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,2.880000000000000000e+02,3.330000000000000000e+02,3.760000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,2.880000000000000000e+02,3.270000000000000000e+02,3.760000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,2.880000000000000000e+02,3.230000000000000000e+02,3.740000000000000000e+02,2.480000000000000000e+02,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,2.850000000000000000e+02,3.140000000000000000e+02,3.750000000000000000e+02,2.470000000000000000e+02,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,2.840000000000000000e+02,3.060000000000000000e+02,3.680000000000000000e+02,2.480000000000000000e+02,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,2.850000000000000000e+02,3.040000000000000000e+02,3.660000000000000000e+02,2.480000000000000000e+02,nan,nan,nan,nan,nan,nan
1.200000000000000000e+01,2.800000000000000000e+02,3.010000000000000000e+02,3.680000000000000000e+02,2.490000000000000000e+02,nan,nan,nan,nan,nan,nan
1.300000000000000000e+01,2.800000000000000000e+02,2.980000000000000000e+02,3.610000000000000000e+02,2.510000000000000000e+02,nan,nan,nan,nan,nan,nan
1.400000000000000000e+01,2.820000000000000000e+02,2.930000000000000000e+02,3.570000000000000000e+02,2.540000000000000000e+02,nan,nan,nan,nan,nan,nan
1.500000000000000000e+01,2.780000000000000000e+02,2.880000000000000000e+02,3.580000000000000000e+02,2.540000000000000000e+02,nan,nan,nan,nan,nan,nan
1.600000000000000000e+01,2.790000000000000000e+02,2.800000000000000000e+02,3.540000000000000000e+02,2.560000000000000000e+02,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,2.820000000000000000e+02,2.800000000000000000e+02,3.540000000000000000e+02,2.600000000000000000e+02,nan,nan,nan,nan,nan,nan
1.800000000000000000e+01,2.780000000000000000e+02,2.770000000000000000e+02,3.530000000000000000e+02,2.610000000000000000e+02,nan,nan,nan,nan,nan,nan
1.900000000000000000e+01,2.790000000000000000e+02,2.700000000000000000e+02,3.510000000000000000e+02,2.630000000000000000e+02,nan,nan,nan,nan,nan,nan
2.000000000000000000e+01,2.790000000000000000e+02,2.610000000000000000e+02,3.510000000000000000e+02,2.680000000000000000e+02,nan,nan,nan,nan,nan,nan
2.100000000000000000e+01,2.780000000000000000e+02,2.580000000000000000e+02,3.500000000000000000e+02,2.670000000000000000e+02,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,2.740000000000000000e+02,2.570000000000000000e+02,3.480000000000000000e+02,2.690000000000000000e+02,nan,nan,nan,nan,nan,nan
2.300000000000000000e+01,2.730000000000000000e+02,2.490000000000000000e+02,3.460000000000000000e+02,2.730000000000000000e+02,nan,nan,nan,nan,nan,nan
2.400000000000000000e+01,2.700000000000000000e+02,2.480000000000000000e+02,3.450000000000000000e+02,2.730000000000000000e+02,nan,nan,nan,nan,nan,nan
2.500000000000000000e+01,2.790000000000000000e+02,2.600000000000000000e+02,3.490000000000000000e+02,2.740000000000000000e+02,nan,nan,nan,nan,nan,nan
2.600000000000000000e+01,2.860000000000000000e+02,2.580000000000000000e+02,3.520000000000000000e+02,2.800000000000000000e+02,2.330000000000000000e+02,3.260000000000000000e+02,nan,nan,nan,nan
2.700000000000000000e+01,2.840000000000000000e+02,2.680000000000000000e+02,3.570000000000000000e+02,2.790000000000000000e+02,2.370000000000000000e+02,3.300000000000000000e+02,3.730000000000000000e+02,nan,nan,nan
2.800000000000000000e+01,2.950000000000000000e+02,2.750000000000000000e+02,3.640000000000000000e+02,nan,2.350000000000000000e+02,3.370000000000000000e+02,3.770000000000000000e+02,nan,nan,nan
2.900000000000000000e+01,3.040000000000000000e+02,2.830000000000000000e+02,3.680000000000000000e+02,nan,2.400000000000000000e+02,3.420000000000000000e+02,3.770000000000000000e+02,nan,nan,nan
3.000000000000000000e+01,3.090000000000000000e+02,2.950000000000000000e+02,3.750000000000000000e+02,nan,2.410000000000000000e+02,3.490000000000000000e+02,3.770000000000000000e+02,nan,nan,nan
3.100000000000000000e+01,3.130000000000000000e+02,3.050000000000000000e+02,3.790000000000000000e+02,nan,2.440000000000000000e+02,3.500000000000000000e+02,3.760000000000000000e+02,nan,nan,nan
3.200000000000000000e+01,3.210000000000000000e+02,3.110000000000000000e+02,3.840000000000000000e+02,nan,2.450000000000000000e+02,3.540000000000000000e+02,3.770000000000000000e+02,nan,nan,nan
3.300000000000000000e+01,3.260000000000000000e+02,3.220000000000000000e+02,3.920000000000000000e+02,nan,2.480000000000000000e+02,3.620000000000000000e+02,3.770000000000000000e+02,8.900000000000000000e+01,nan,nan
