Un [v],I-a [uA],I-9 [uA],I-13 [uA]
825,100,10.75,0.75
802,81,8.86,0.64
754,50,5.64,0.46
706,28,3.38,0.31
642,12,1.59,0.17
592,6.1,0.86,0.1
538,3,0.38,0.05
480,1,0.14,0.02
424,0.5,0.05,0.01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
