Un [v],I-a [uA],I-9 [uA],I-13 [uA]
795,100,11.13,0.81
784,90,9.89,0.75
748,59,6.81,0.56
692,30,3.72,0.35
645,17.8,2.23,0.24
593,8,1.08,0.13
556,4,0.61,0.08
500,2,0.25,0.04
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
