f[Hz] 	 GabsStart 	 GphiStart 	 GabsFit 	 GphiFit
650.0 	 0.006849620968369988 	 69.97189477211238 	 0.007369858588562751 	 74.32670453268685
651.0 	 0.00692216366457798 	 69.75054192909906 	 0.007453906224379603 	 74.14328378394252
652.0 	 0.006996022230864456 	 69.52484930582376 	 0.0075396630703557215 	 73.95596087272261
653.0 	 0.007071229285165844 	 69.29469441832751 	 0.007627179156308909 	 73.76461339863138
654.0 	 0.0071478183596142796 	 69.05995043796737 	 0.007716506343728464 	 73.56911397737663
655.0 	 0.007225823921910301 	 68.82048601398908 	 0.007807698401645056 	 73.36932999546819
656.0 	 0.007305281396329168 	 68.57616508850313 	 0.007900811085601513 	 73.16512335107393
657.0 	 0.007386227184216969 	 68.32684670358262 	 0.007995902219800349 	 72.95635018018137
658.0 	 0.007468698683812308 	 68.07238480020129 	 0.008093031782495074 	 72.74286056715991
659.0 	 0.007552734309207098 	 67.81262800872963 	 0.008192261994681734 	 72.52449823876202
660.0 	 0.007638373508234474 	 67.54741943071252 	 0.008293657412132852 	 72.30110024054345
661.0 	 0.007725656779043962 	 67.27659641165616 	 0.008397285020799408 	 72.07249659461897
662.0 	 0.007814625685092363 	 66.99999030456263 	 0.008503214335585183 	 71.83850993760672
663.0 	 0.007905322868244195 	 66.71742622396194 	 0.008611517502472939 	 71.59895513754408
664.0 	 0.007997792059635786 	 66.4287227902106 	 0.008722269403950527 	 71.35363888848977
665.0 	 0.008092078087914163 	 66.13369186384712 	 0.008835547767648793 	 71.10235928145178
666.0 	 0.008188226884413324 	 65.83213826982242 	 0.008951433278059124 	 70.84490535020593
667.0 	 0.00828628548477624 	 65.52385951146103 	 0.009070009691145667 	 70.58105659049335
668.0 	 0.008386302026471799 	 65.20864547404854 	 0.009191363951606031 	 70.31058245100554
669.0 	 0.008488325741588684 	 64.88627811799691 	 0.009315586312460105 	 70.0332417944884
670.0 	 0.0085924069442155 	 64.55653116159854 	 0.009442770456561193 	 69.7487823272165
671.0 	 0.008698597011634104 	 64.21916975345815 	 0.00957301361952119 	 69.45693999501422
