0.000000000000000000e+00,4.900000000000000000e+02,5.650000000000000000e+02,4.230000000000000000e+02,4.450000000000000000e+02,nan
1.000000000000000000e+00,4.860000000000000000e+02,5.600000000000000000e+02,4.220000000000000000e+02,4.400000000000000000e+02,nan
2.000000000000000000e+00,4.880000000000000000e+02,5.610000000000000000e+02,4.250000000000000000e+02,4.450000000000000000e+02,nan
3.000000000000000000e+00,4.840000000000000000e+02,5.600000000000000000e+02,4.200000000000000000e+02,4.430000000000000000e+02,nan
4.000000000000000000e+00,4.840000000000000000e+02,5.610000000000000000e+02,4.180000000000000000e+02,4.430000000000000000e+02,nan
5.000000000000000000e+00,4.780000000000000000e+02,5.560000000000000000e+02,4.230000000000000000e+02,4.400000000000000000e+02,nan
6.000000000000000000e+00,4.800000000000000000e+02,5.580000000000000000e+02,4.210000000000000000e+02,4.410000000000000000e+02,nan
7.000000000000000000e+00,4.750000000000000000e+02,5.480000000000000000e+02,4.180000000000000000e+02,4.400000000000000000e+02,nan
8.000000000000000000e+00,4.730000000000000000e+02,5.530000000000000000e+02,4.160000000000000000e+02,4.420000000000000000e+02,nan
9.000000000000000000e+00,4.670000000000000000e+02,5.480000000000000000e+02,4.170000000000000000e+02,4.430000000000000000e+02,nan
1.000000000000000000e+01,4.670000000000000000e+02,5.470000000000000000e+02,4.160000000000000000e+02,4.420000000000000000e+02,nan
1.100000000000000000e+01,4.620000000000000000e+02,5.440000000000000000e+02,4.130000000000000000e+02,4.420000000000000000e+02,nan
1.200000000000000000e+01,4.610000000000000000e+02,5.420000000000000000e+02,4.090000000000000000e+02,4.380000000000000000e+02,nan
1.300000000000000000e+01,4.590000000000000000e+02,5.400000000000000000e+02,4.110000000000000000e+02,4.390000000000000000e+02,nan
1.400000000000000000e+01,4.550000000000000000e+02,5.380000000000000000e+02,4.070000000000000000e+02,4.360000000000000000e+02,nan
1.500000000000000000e+01,4.520000000000000000e+02,5.380000000000000000e+02,4.070000000000000000e+02,4.400000000000000000e+02,nan
1.600000000000000000e+01,4.520000000000000000e+02,5.340000000000000000e+02,4.060000000000000000e+02,4.420000000000000000e+02,nan
1.700000000000000000e+01,4.500000000000000000e+02,5.320000000000000000e+02,4.060000000000000000e+02,4.420000000000000000e+02,nan
1.800000000000000000e+01,4.510000000000000000e+02,5.290000000000000000e+02,4.030000000000000000e+02,4.410000000000000000e+02,nan
1.900000000000000000e+01,4.450000000000000000e+02,5.260000000000000000e+02,4.010000000000000000e+02,4.420000000000000000e+02,nan
2.000000000000000000e+01,4.490000000000000000e+02,5.230000000000000000e+02,4.000000000000000000e+02,4.420000000000000000e+02,nan
2.100000000000000000e+01,4.470000000000000000e+02,5.220000000000000000e+02,3.970000000000000000e+02,4.400000000000000000e+02,nan
2.200000000000000000e+01,4.420000000000000000e+02,5.180000000000000000e+02,3.920000000000000000e+02,4.390000000000000000e+02,nan
2.300000000000000000e+01,4.400000000000000000e+02,5.130000000000000000e+02,3.940000000000000000e+02,4.390000000000000000e+02,nan
2.400000000000000000e+01,4.400000000000000000e+02,5.110000000000000000e+02,3.960000000000000000e+02,4.370000000000000000e+02,nan
2.500000000000000000e+01,4.420000000000000000e+02,5.080000000000000000e+02,3.910000000000000000e+02,4.430000000000000000e+02,nan
2.600000000000000000e+01,4.390000000000000000e+02,5.060000000000000000e+02,3.930000000000000000e+02,4.430000000000000000e+02,nan
2.700000000000000000e+01,4.350000000000000000e+02,5.060000000000000000e+02,3.890000000000000000e+02,4.430000000000000000e+02,nan
2.800000000000000000e+01,4.360000000000000000e+02,nan,3.910000000000000000e+02,4.470000000000000000e+02,nan
2.900000000000000000e+01,4.330000000000000000e+02,nan,3.910000000000000000e+02,4.440000000000000000e+02,nan
3.000000000000000000e+01,4.300000000000000000e+02,nan,3.880000000000000000e+02,4.460000000000000000e+02,nan
3.100000000000000000e+01,4.300000000000000000e+02,nan,3.810000000000000000e+02,4.450000000000000000e+02,nan
3.200000000000000000e+01,4.290000000000000000e+02,nan,3.810000000000000000e+02,4.500000000000000000e+02,nan
3.300000000000000000e+01,4.280000000000000000e+02,nan,3.790000000000000000e+02,4.510000000000000000e+02,nan
3.400000000000000000e+01,4.260000000000000000e+02,nan,3.790000000000000000e+02,4.490000000000000000e+02,nan
3.500000000000000000e+01,4.240000000000000000e+02,nan,3.790000000000000000e+02,4.500000000000000000e+02,nan
3.600000000000000000e+01,4.220000000000000000e+02,nan,3.750000000000000000e+02,4.510000000000000000e+02,nan
3.700000000000000000e+01,4.210000000000000000e+02,nan,3.770000000000000000e+02,4.500000000000000000e+02,nan
3.800000000000000000e+01,4.190000000000000000e+02,nan,3.690000000000000000e+02,4.540000000000000000e+02,nan
3.900000000000000000e+01,4.160000000000000000e+02,nan,3.680000000000000000e+02,4.520000000000000000e+02,nan
4.000000000000000000e+01,4.140000000000000000e+02,nan,3.710000000000000000e+02,4.540000000000000000e+02,nan
4.100000000000000000e+01,4.130000000000000000e+02,nan,3.650000000000000000e+02,4.560000000000000000e+02,nan
4.200000000000000000e+01,4.100000000000000000e+02,nan,3.690000000000000000e+02,4.570000000000000000e+02,nan
4.300000000000000000e+01,4.100000000000000000e+02,nan,3.670000000000000000e+02,4.590000000000000000e+02,nan
4.400000000000000000e+01,4.090000000000000000e+02,nan,3.690000000000000000e+02,4.590000000000000000e+02,nan
4.500000000000000000e+01,4.060000000000000000e+02,nan,3.580000000000000000e+02,4.600000000000000000e+02,nan
4.600000000000000000e+01,4.040000000000000000e+02,nan,3.580000000000000000e+02,4.600000000000000000e+02,nan
