0.000000000000000000e+00,2.270000000000000000e+02,2.370000000000000000e+02,4.100000000000000000e+02,4.540000000000000000e+02,5.200000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,2.280000000000000000e+02,2.390000000000000000e+02,4.180000000000000000e+02,4.560000000000000000e+02,5.240000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+00,2.430000000000000000e+02,2.460000000000000000e+02,4.170000000000000000e+02,4.620000000000000000e+02,5.270000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000000000000000000e+00,2.550000000000000000e+02,2.550000000000000000e+02,4.200000000000000000e+02,4.650000000000000000e+02,5.280000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000000e+00,2.610000000000000000e+02,2.580000000000000000e+02,4.210000000000000000e+02,4.670000000000000000e+02,5.340000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.000000000000000000e+00,2.600000000000000000e+02,2.620000000000000000e+02,4.250000000000000000e+02,4.720000000000000000e+02,5.370000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000000e+00,2.590000000000000000e+02,2.610000000000000000e+02,4.220000000000000000e+02,4.760000000000000000e+02,5.380000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.000000000000000000e+00,2.580000000000000000e+02,2.620000000000000000e+02,4.290000000000000000e+02,4.730000000000000000e+02,5.400000000000000000e+02,nan,1.780000000000000000e+02,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+02,4.280000000000000000e+02,4.760000000000000000e+02,5.310000000000000000e+02,nan,1.770000000000000000e+02,2.990000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
9.000000000000000000e+00,2.530000000000000000e+02,2.590000000000000000e+02,4.310000000000000000e+02,4.780000000000000000e+02,5.380000000000000000e+02,nan,1.730000000000000000e+02,3.020000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+01,2.490000000000000000e+02,2.520000000000000000e+02,4.330000000000000000e+02,4.800000000000000000e+02,5.360000000000000000e+02,nan,1.720000000000000000e+02,3.020000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
1.100000000000000000e+01,2.460000000000000000e+02,2.540000000000000000e+02,4.360000000000000000e+02,4.860000000000000000e+02,5.380000000000000000e+02,nan,1.650000000000000000e+02,3.030000000000000000e+02,nan,nan,nan,nan,nan,nan,nan
