0.000000000000000000e+00,4.800000000000000000e+01,2.480000000000000000e+02,3.230000000000000000e+02,3.990000000000000000e+02,4.060000000000000000e+02,5.090000000000000000e+02,nan,nan,nan
1.000000000000000000e+00,5.100000000000000000e+01,2.560000000000000000e+02,3.320000000000000000e+02,4.010000000000000000e+02,4.110000000000000000e+02,5.220000000000000000e+02,nan,nan,nan
2.000000000000000000e+00,6.000000000000000000e+01,2.640000000000000000e+02,3.240000000000000000e+02,4.050000000000000000e+02,4.170000000000000000e+02,5.270000000000000000e+02,nan,nan,nan
3.000000000000000000e+00,6.800000000000000000e+01,2.710000000000000000e+02,3.270000000000000000e+02,4.090000000000000000e+02,4.140000000000000000e+02,5.350000000000000000e+02,nan,nan,nan
4.000000000000000000e+00,7.700000000000000000e+01,2.800000000000000000e+02,3.310000000000000000e+02,4.100000000000000000e+02,4.210000000000000000e+02,5.400000000000000000e+02,nan,nan,nan
5.000000000000000000e+00,8.000000000000000000e+01,2.830000000000000000e+02,3.290000000000000000e+02,4.140000000000000000e+02,4.250000000000000000e+02,5.500000000000000000e+02,nan,nan,nan
6.000000000000000000e+00,8.400000000000000000e+01,2.880000000000000000e+02,3.320000000000000000e+02,4.180000000000000000e+02,4.230000000000000000e+02,5.510000000000000000e+02,nan,nan,nan
7.000000000000000000e+00,8.900000000000000000e+01,2.950000000000000000e+02,3.340000000000000000e+02,4.170000000000000000e+02,4.330000000000000000e+02,5.510000000000000000e+02,nan,nan,nan
8.000000000000000000e+00,9.600000000000000000e+01,3.030000000000000000e+02,3.360000000000000000e+02,4.190000000000000000e+02,4.400000000000000000e+02,nan,nan,nan,nan
9.000000000000000000e+00,1.030000000000000000e+02,3.150000000000000000e+02,3.360000000000000000e+02,4.200000000000000000e+02,4.390000000000000000e+02,nan,nan,nan,nan
1.000000000000000000e+01,1.060000000000000000e+02,3.280000000000000000e+02,3.420000000000000000e+02,4.230000000000000000e+02,4.440000000000000000e+02,nan,nan,nan,nan
1.100000000000000000e+01,1.110000000000000000e+02,3.290000000000000000e+02,3.410000000000000000e+02,4.260000000000000000e+02,4.450000000000000000e+02,nan,nan,nan,nan
1.200000000000000000e+01,1.180000000000000000e+02,3.380000000000000000e+02,3.410000000000000000e+02,4.290000000000000000e+02,4.500000000000000000e+02,nan,nan,nan,nan
1.300000000000000000e+01,1.240000000000000000e+02,3.410000000000000000e+02,3.450000000000000000e+02,4.320000000000000000e+02,4.560000000000000000e+02,nan,nan,nan,nan
1.400000000000000000e+01,1.230000000000000000e+02,3.450000000000000000e+02,3.460000000000000000e+02,4.340000000000000000e+02,4.600000000000000000e+02,nan,nan,5.560000000000000000e+02,nan
1.500000000000000000e+01,1.190000000000000000e+02,3.410000000000000000e+02,3.490000000000000000e+02,4.370000000000000000e+02,nan,nan,nan,5.560000000000000000e+02,nan
1.600000000000000000e+01,1.130000000000000000e+02,3.340000000000000000e+02,3.500000000000000000e+02,4.400000000000000000e+02,nan,nan,nan,5.450000000000000000e+02,nan
1.700000000000000000e+01,1.090000000000000000e+02,3.390000000000000000e+02,3.530000000000000000e+02,4.420000000000000000e+02,nan,nan,nan,5.510000000000000000e+02,nan
1.800000000000000000e+01,1.040000000000000000e+02,3.300000000000000000e+02,3.550000000000000000e+02,4.420000000000000000e+02,nan,nan,nan,5.570000000000000000e+02,nan
1.900000000000000000e+01,9.900000000000000000e+01,3.260000000000000000e+02,3.570000000000000000e+02,4.500000000000000000e+02,nan,nan,nan,nan,nan
2.000000000000000000e+01,9.700000000000000000e+01,3.230000000000000000e+02,3.580000000000000000e+02,4.520000000000000000e+02,nan,nan,nan,nan,nan
2.100000000000000000e+01,9.600000000000000000e+01,3.210000000000000000e+02,3.600000000000000000e+02,4.510000000000000000e+02,nan,nan,nan,nan,nan
2.200000000000000000e+01,nan,3.180000000000000000e+02,3.580000000000000000e+02,4.560000000000000000e+02,nan,nan,nan,nan,nan
2.300000000000000000e+01,nan,3.160000000000000000e+02,3.610000000000000000e+02,4.590000000000000000e+02,nan,nan,nan,nan,nan
2.400000000000000000e+01,nan,3.120000000000000000e+02,3.630000000000000000e+02,4.630000000000000000e+02,nan,nan,nan,nan,nan
2.500000000000000000e+01,nan,3.110000000000000000e+02,3.620000000000000000e+02,4.640000000000000000e+02,nan,nan,nan,nan,nan
2.600000000000000000e+01,nan,3.030000000000000000e+02,3.650000000000000000e+02,4.630000000000000000e+02,nan,nan,nan,nan,nan
2.700000000000000000e+01,nan,3.020000000000000000e+02,3.650000000000000000e+02,4.680000000000000000e+02,nan,nan,nan,nan,nan
2.800000000000000000e+01,nan,3.020000000000000000e+02,3.710000000000000000e+02,4.690000000000000000e+02,nan,nan,nan,nan,nan
2.900000000000000000e+01,nan,2.990000000000000000e+02,3.710000000000000000e+02,4.680000000000000000e+02,nan,nan,nan,nan,nan
3.000000000000000000e+01,nan,2.890000000000000000e+02,3.710000000000000000e+02,4.730000000000000000e+02,nan,nan,nan,nan,nan
3.100000000000000000e+01,nan,nan,3.760000000000000000e+02,4.750000000000000000e+02,nan,nan,nan,nan,nan
3.200000000000000000e+01,nan,nan,3.820000000000000000e+02,4.780000000000000000e+02,nan,nan,nan,nan,nan
3.300000000000000000e+01,nan,nan,3.810000000000000000e+02,4.820000000000000000e+02,nan,nan,nan,nan,nan
3.400000000000000000e+01,nan,nan,3.830000000000000000e+02,4.860000000000000000e+02,nan,nan,nan,nan,nan
3.500000000000000000e+01,nan,nan,3.850000000000000000e+02,4.930000000000000000e+02,nan,nan,nan,nan,nan
